bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 23381.619433 153584845.886170 23256.689005
1 93 0.007610 22713.631258 112945085.127739 23988.875305
2 104 0.008076 23869.225848 123233014.925975 24484.507573
3 80 0.008457 21809.274053 92353876.828905 24838.032416
4 205 0.009030 25360.686214 169008894.153537 25288.441715
5 100 0.009540 28151.771177 182231487.457412 25615.889144
6 209 0.010041 26369.987468 144286728.763504 25877.281214
7 240 0.010642 28100.428341 112789697.022402 26119.904723
8 241 0.011260 25030.324981 114355842.418931 26298.720027
9 340 0.011879 26070.521429 108775809.821697 26414.592997
10 393 0.012644 25644.442803 165519922.124112 26482.072804
11 428 0.013354 27191.785987 121929218.166762 26480.305151
12 501 0.014109 24461.879001 116560737.543236 26420.567474
13 585 0.014893 25858.108866 134217065.228240 26305.061616
14 724 0.015725 28192.728034 119353014.186069 26132.539421
15 893 0.016669 27410.978067 111741191.208408 25884.826125
16 981 0.017639 25726.210443 145406671.582986 25583.722619
17 1153 0.018627 25281.934109 113734329.390390 25238.003558
18 1385 0.019682 25223.931360 123670736.329710 24834.647607
19 1557 0.020783 23761.932763 107715578.971822 24384.749340
20 2017 0.021982 22294.966385 116183379.479779 23869.526403
21 2305 0.023275 23681.292037 117342258.559195 23292.938732
22 2761 0.024635 22742.839081 115242015.947465 22671.882192
23 3185 0.026058 21960.773115 109207215.011473 22012.677937
24 3809 0.027557 21274.081046 115906387.541540 21315.489421
25 4433 0.029141 20470.611817 113297615.011272 20581.628842
26 5322 0.030819 19966.600598 109178535.806394 19812.559358
27 6089 0.032574 19208.609659 111560555.073456 19022.490506
28 7270 0.034419 18218.059688 104117797.310186 18211.717358
29 8861 0.036411 17350.287371 107790482.116812 17362.711733
30 10350 0.038535 16317.966693 102505314.148357 16490.139511
31 11926 0.040738 15619.243403 102731922.397451 15622.148330
32 14314 0.043059 14855.474952 98174934.836070 14750.145386
33 17194 0.045556 13862.072821 98084360.009637 13860.455707
34 19970 0.048189 13004.672932 97930890.284171 12975.875064
35 23330 0.050935 12064.191226 93440226.628057 12110.363929
36 28019 0.053852 11106.459994 91963115.060405 11252.113856
37 32810 0.056943 10392.381790 89347824.423465 10407.577503
38 39011 0.060210 9544.537105 85757819.524597 9583.080801
39 46275 0.063681 8724.764724 83133088.459246 8778.834987
40 54283 0.067342 8061.239965 80628990.326198 8003.729983
41 64447 0.071210 7219.402164 77579382.037100 7259.807209
42 75927 0.075301 6567.395092 74275127.476348 6548.678215
43 89732 0.079622 5888.483744 71057675.132954 5873.720899
44 106183 0.084193 5221.054680 67475405.844504 5235.643013
45 125668 0.089033 4652.953866 64210553.156183 4635.564271
46 148604 0.094155 4078.418329 60980292.142517 4075.135662
47 175353 0.099567 3549.867458 57278300.190184 3555.909827
48 207425 0.105288 3075.939220 53230187.347049 3077.967506
49 244857 0.111334 2649.152240 49931132.628549 2641.134224
50 289677 0.117728 2237.286702 46784668.432735 2244.899095
51 342617 0.124493 1885.428449 42982493.657180 1888.289449
52 405414 0.131652 1575.404544 39637425.087559 1570.270501
53 478986 0.139223 1292.055010 36613290.062075 1289.767222
54 566031 0.147224 1046.900753 33756384.106432 1045.215296
55 668383 0.155679 837.026955 31344344.512911 834.662910
56 738901 0.164493 661.121968 28733864.889206 657.937943
57 725334 0.173923 509.732988 25446096.505173 507.949688
58 690734 0.183891 386.313202 22742449.173288 384.453625
59 629822 0.194412 286.332229 20335591.429872 284.805646
