bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 9557.987764 9588.720207 11336.590429
1 17 0.007540 6842.154805 6834.363076 10592.849033
2 16 0.007948 13107.265672 13125.334101 9856.146285
3 16 0.008428 7609.023569 7641.278083 8968.877160
4 16 0.009062 7330.307125 7369.543398 7803.858953
5 24 0.009404 6894.578618 6898.475232 7190.588450
6 5 0.010053 3301.024495 3286.632334 6079.887832
7 48 0.010488 4937.276572 4917.307104 5386.301869
8 52 0.011302 3943.622255 3932.122654 4214.151546
9 12 0.011788 2580.898718 2625.080372 3599.644621
10 73 0.012661 2201.268526 2215.249954 2658.210847
11 56 0.013399 2487.058083 2485.214575 2016.903396
12 56 0.014118 1650.308272 1665.393117 1514.594543
13 85 0.014919 1416.556940 1420.678086 1079.775234
14 104 0.015855 598.210779 594.374427 708.901012
15 112 0.016716 546.061263 542.930549 469.721543
16 105 0.017749 264.644515 265.532967 278.288492
17 152 0.018521 212.600454 212.214693 184.258309
18 145 0.019564 98.362509 98.020328 102.519316
19 236 0.020658 60.348941 60.616843 53.564426
20 273 0.022004 24.268665 24.515518 22.932928
21 332 0.023389 9.703357 9.837961 9.062063
22 337 0.024805 3.329322 3.506364 3.307683
23 368 0.026076 1.284865 1.452143 1.273125
24 517 0.027581 0.364723 0.448654 0.386947
25 540 0.029145 0.108427 0.155273 0.104581
26 685 0.030811 0.028226 0.049514 0.024034
27 757 0.032566 0.005295 0.015383 0.004675
28 989 0.034451 0.000900 0.005143 0.000730
29 1064 0.036439 0.000108 0.001693 0.000092
30 1277 0.038477 0.000012 0.000527 0.000010
31 1601 0.040717 0.000001 0.000144 0.000001
32 1801 0.043096 0.000000 0.000033 0.000000
33 2157 0.045569 0.000000 0.000007 0.000000
34 2477 0.048160 0.000000 0.000001 0.000000
35 2969 0.050893 0.000000 0.000000 0.000000
36 3462 0.053791 0.000000 0.000000 0.000000
37 4173 0.056863 0.000000 0.000000 0.000000
38 5045 0.060185 0.000000 0.000000 0.000000
39 5794 0.063688 0.000000 0.000000 0.000000
40 6881 0.067339 0.000000 0.000000 0.000000
41 8098 0.071214 0.000000 0.000000 0.000000
42 9585 0.075295 0.000000 0.000000 0.000000
43 11286 0.079619 0.000000 0.000000 0.000000
44 13358 0.084185 0.000000 0.000000 0.000000
45 15758 0.089016 0.000000 0.000000 0.000000
46 18910 0.094158 0.000000 0.000000 0.000000
47 21890 0.099576 0.000000 0.000000 0.000000
48 25991 0.105268 0.000000 0.000000 0.000000
49 31106 0.111339 0.000000 0.000000 0.000000
50 36295 0.117753 0.000000 0.000000 0.000000
51 43006 0.124502 0.000000 0.000000 0.000000
52 50771 0.131649 0.000000 0.000000 0.000000
53 60191 0.139212 0.000000 0.000000 0.000000
54 71044 0.147218 0.000000 0.000000 0.000000
55 84279 0.155692 0.000000 0.000000 0.000000
56 98804 0.164630 0.000000 0.000000 0.000000
57 117244 0.174067 0.000000 0.000000 0.000000
58 139124 0.184085 0.000000 0.000000 0.000000
59 163748 0.194672 0.000000 0.000000 0.000000
