bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 5041.827956 5054.333716 23469.501712
1 17 0.007540 9267.154673 9228.313230 24018.001733
2 16 0.007948 9571.075373 9560.640432 24475.631515
3 16 0.008428 6719.401567 6743.822011 24944.918797
4 16 0.009062 3619.062367 3617.530449 25459.167977
5 24 0.009404 3063.323504 3039.507487 25692.236114
6 5 0.010053 3348.618461 3318.565555 26057.838726
7 48 0.010488 3189.430195 3191.477153 26251.761448
8 52 0.011302 2236.121059 2227.077479 26519.467063
9 12 0.011788 2108.824487 2100.604537 26626.771464
10 73 0.012661 1630.865546 1624.095652 26735.330260
11 56 0.013399 785.948464 790.951287 26754.802341
12 56 0.014118 508.277789 512.458984 26720.041315
13 85 0.014919 356.243932 355.452223 26628.455914
14 104 0.015855 226.071619 227.696239 26462.671885
15 112 0.016716 108.890443 109.157802 26263.825763
16 105 0.017749 54.003893 55.061578 25978.312695
17 152 0.018521 30.427911 30.302225 25737.692330
18 145 0.019564 15.430237 15.397919 25382.606881
19 236 0.020658 5.866841 5.896443 24981.872044
20 273 0.022004 1.945392 2.009543 24458.545989
21 332 0.023389 0.473760 0.501045 23896.545793
22 337 0.024805 0.142746 0.147214 23306.368344
23 368 0.026076 0.037661 0.041650 22769.456936
24 517 0.027581 0.008466 0.009931 22131.337456
25 540 0.029145 0.001524 0.002154 21470.190769
26 685 0.030811 0.000210 0.000497 20774.367163
27 757 0.032566 0.000023 0.000105 20053.986980
28 989 0.034451 0.000002 0.000027 19299.210725
29 1064 0.036439 0.000000 0.000006 18527.523200
30 1277 0.038477 0.000000 0.000001 17764.636799
31 1601 0.040717 0.000000 0.000000 16960.615742
32 1801 0.043096 0.000000 0.000000 16147.369923
33 2157 0.045569 0.000000 0.000000 15345.790021
34 2477 0.048160 0.000000 0.000000 14553.046011
35 2969 0.050893 0.000000 0.000000 13767.768122
36 3462 0.053791 0.000000 0.000000 12989.366816
37 4173 0.056863 0.000000 0.000000 12221.735915
38 5045 0.060185 0.000000 0.000000 11454.063143
39 5794 0.063688 0.000000 0.000000 10709.186560
40 6881 0.067339 0.000000 0.000000 9997.578243
41 8098 0.071214 0.000000 0.000000 9308.199161
42 9585 0.075295 0.000000 0.000000 8648.114974
43 11286 0.079619 0.000000 0.000000 8014.786189
44 13358 0.084185 0.000000 0.000000 7411.642499
45 15758 0.089016 0.000000 0.000000 6838.319420
46 18910 0.094158 0.000000 0.000000 6292.322681
47 21890 0.099576 0.000000 0.000000 5779.509915
48 25991 0.105268 0.000000 0.000000 5300.495224
49 31106 0.111339 0.000000 0.000000 4847.999911
50 36295 0.117753 0.000000 0.000000 4425.930644
51 43006 0.124502 0.000000 0.000000 4034.995311
52 50771 0.131649 0.000000 0.000000 3671.490609
53 60191 0.139212 0.000000 0.000000 3334.678926
54 71044 0.147218 0.000000 0.000000 3023.417267
55 84279 0.155692 0.000000 0.000000 2736.542904
56 92415 0.164505 0.000000 0.000000 2477.048429
57 91386 0.173911 0.000000 0.000000 2236.657854
58 87204 0.183897 0.000000 0.000000 2015.795497
59 79268 0.194425 0.000000 0.000000 1814.734228
