bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 29578.222276 28475.534166 23469.501712
1 17 0.007540 22903.671187 21092.664999 24018.001733
2 16 0.007948 34336.578615 35978.551645 24475.631515
3 16 0.008428 26967.309398 28681.279204 24944.918797
4 16 0.009062 12849.604544 12663.001136 25459.167977
5 24 0.009404 22522.767638 21742.576085 25692.236114
6 5 0.010053 25184.931760 29437.119297 26057.838726
7 48 0.010488 23242.859896 23185.708225 26251.761448
8 52 0.011302 24829.646690 24050.199025 26519.467063
9 12 0.011788 35574.178155 36402.991210 26626.771464
10 73 0.012661 28401.607563 28189.562261 26735.330260
11 56 0.013399 26553.039890 27999.051564 26754.802341
12 56 0.014118 28331.428377 28127.210949 26720.041315
13 85 0.014919 23927.887567 25534.616491 26628.455914
14 104 0.015855 26441.765980 26071.336580 26462.671885
15 112 0.016716 19418.888934 19858.519872 26263.825763
16 105 0.017749 26698.154875 26238.285804 25978.312695
17 152 0.018521 22827.539491 23085.798016 25737.692330
18 145 0.019564 23222.306185 23580.858099 25382.606881
19 236 0.020658 18757.788204 19320.259137 24981.872044
20 273 0.022004 19520.094927 19889.796641 24458.545989
21 332 0.023389 18748.183543 19328.650293 23896.545793
22 337 0.024805 19174.104778 19608.217565 23306.368344
23 368 0.026076 18530.084670 18969.348998 22769.456936
24 517 0.027581 16541.087518 16786.823524 22131.337456
25 540 0.029145 15344.395454 15729.257975 21470.190769
26 685 0.030811 14538.606564 14979.046116 20774.367163
27 757 0.032566 12427.369704 12801.937583 20053.986980
28 989 0.034451 12495.162477 12825.228043 19299.210725
29 1064 0.036439 11088.968289 11379.598519 18527.523200
30 1277 0.038477 9936.223993 10208.351410 17764.636799
31 1601 0.040717 9284.453584 9611.675573 16960.615742
32 1801 0.043096 7665.212273 7986.156330 16147.369923
33 2157 0.045569 6799.512021 6990.718642 15345.790021
34 2477 0.048160 5753.297655 5960.642925 14553.046011
35 2969 0.050893 4954.711094 5127.284590 13767.768122
36 3462 0.053791 4068.871315 4244.977616 12989.366816
37 4173 0.056863 3448.283109 3623.350402 12221.735915
38 5045 0.060185 2670.023344 2805.072310 11454.063143
39 5794 0.063688 2121.459041 2230.785936 10709.186560
40 6881 0.067339 1644.943380 1750.188302 9997.578243
41 8098 0.071214 1240.425952 1328.781323 9308.199161
42 9585 0.075295 895.290718 980.453178 8648.114974
43 11286 0.079619 641.940140 703.680132 8014.786189
44 13358 0.084185 438.275981 494.220196 7411.642499
45 15758 0.089016 292.486515 337.637932 6838.319420
46 18910 0.094158 182.581498 213.462060 6292.322681
47 21890 0.099576 111.132550 135.394097 5779.509915
48 25991 0.105268 63.751595 81.762533 5300.495224
49 31106 0.111339 34.439965 46.695597 4847.999911
50 36295 0.117753 17.707918 26.179385 4425.930644
51 43006 0.124502 8.428838 13.896718 4034.995311
52 50771 0.131649 3.658827 7.036622 3671.490609
53 60191 0.139212 1.486699 3.503235 3334.678926
54 71044 0.147218 0.547041 1.675206 3023.417267
55 84279 0.155692 0.177756 0.798285 2736.542904
56 92415 0.164505 0.052727 0.383243 2477.048429
57 91386 0.173911 0.013566 0.170105 2236.657854
58 87204 0.183897 0.002978 0.070667 2015.795497
59 79268 0.194425 0.000558 0.027838 1814.734228
