bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 22295.003470 206589201.235234 23308.402056
1 93 0.007610 26435.197057 195656572.536839 24051.480788
2 104 0.008076 25380.299641 201702678.401000 24556.476400
3 80 0.008457 20495.233542 207525397.751547 24918.108775
4 205 0.009030 28847.784194 658910123.302147 25381.406059
5 100 0.009540 26884.213038 276091103.531285 25721.014740
6 209 0.010041 27246.316448 281302647.406609 25994.958012
7 240 0.010642 27254.545762 212659362.510170 26253.348979
8 241 0.011260 24887.305888 196141563.507110 26449.182193
9 340 0.011879 23425.061264 187074744.373032 26582.848278
10 393 0.012644 26959.412230 471543016.919754 26673.277660
11 428 0.013354 25369.996799 247851608.141741 26693.653730
12 501 0.014109 24875.630763 199075014.907858 26658.318668
13 585 0.014893 27007.029299 220162900.630660 26568.945740
14 724 0.015725 25465.942622 211791770.998545 26424.942644
15 893 0.016669 26199.607680 205137452.505945 26210.513071
16 981 0.017639 26633.254876 259214974.310955 25944.443723
17 1153 0.018627 25682.473328 222713994.253589 25635.158977
18 1385 0.019682 26413.322630 255131647.973696 25271.379017
19 1557 0.020783 26618.839097 192979384.445118 24863.352204
20 2017 0.021982 23615.009284 239957809.351006 24394.233139
21 2305 0.023275 24151.559735 215174970.101957 23867.753908
22 2761 0.024635 24027.388112 222551873.075331 23299.559163
23 3185 0.026058 22514.815731 216120045.132928 22695.679589
24 3809 0.027557 22060.066477 233775150.352072 22056.477958
25 4433 0.029141 21532.724487 207837374.924628 21383.332851
26 5322 0.030819 21207.041696 204970095.773573 20677.730487
27 6089 0.032574 19910.799912 216602146.570574 19952.821516
28 7270 0.034419 19254.659749 200583769.288931 19208.954232
29 8861 0.036411 17977.345343 216425725.213488 18430.089081
30 10350 0.038535 17547.732628 202091039.333783 17629.683881
31 11926 0.040738 16864.671256 206565085.102150 16833.512757
32 14314 0.043059 15886.672658 198544829.158184 16033.603175
33 17194 0.045556 15136.297935 200560631.656582 15217.268156
34 19970 0.048189 14279.790299 198982749.562931 14405.225524
35 23330 0.050935 13621.386076 194135434.998034 13610.059197
36 28019 0.053852 12822.664564 194655831.952532 12820.636315
37 32810 0.056943 11973.717886 189403614.371363 12042.536383
38 39011 0.060210 11325.436712 189309649.992442 11281.186488
39 46275 0.063681 10518.235865 186192853.554865 10536.322580
40 54283 0.067342 9791.770157 184642608.394495 9815.679780
41 64447 0.071210 9129.083973 181490057.967877 9120.642871
42 75927 0.075301 8421.536973 180032134.755089 8452.164587
43 89732 0.079622 7776.531641 172025597.963892 7812.850611
44 106183 0.084193 7218.832968 171588834.578482 7202.794407
45 125668 0.089033 6629.044047 166540599.185527 6622.474995
46 148604 0.094155 6077.941873 163944574.713458 6072.919808
47 175353 0.099567 5557.650138 160388640.038755 5555.155894
48 207425 0.105288 5068.804474 155754073.282991 5068.861664
49 244857 0.111334 4619.788291 151849142.584811 4613.558558
50 289677 0.117728 4199.787678 150174719.152787 4188.548632
51 342617 0.124493 3795.583643 146004198.184099 3792.786865
52 405414 0.131652 3427.038345 141243292.758703 3425.330430
53 478986 0.139223 3087.697811 137502345.985642 3085.434769
54 566031 0.147224 2766.555699 133920170.811591 2772.072104
55 668383 0.155679 2482.100956 130999346.688663 2484.033490
56 738901 0.164493 2222.195538 127786662.824569 2223.223060
57 725334 0.173923 1986.896686 123297439.480760 1981.473147
58 690734 0.183891 1762.969989 119008881.421169 1760.839780
59 629822 0.194412 1562.256636 115711569.314736 1560.291236
