bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 23013.813490 135982179.286087 23264.438643
1 93 0.007610 30592.722118 83240938.482659 23998.255729
2 104 0.008076 26148.794399 112755023.022655 24495.289436
3 80 0.008457 24184.861633 113761126.307437 24850.027445
4 205 0.009030 24320.009997 611476832.800227 25302.364629
5 100 0.009540 24140.288155 132778803.868921 25631.630550
6 209 0.010041 23044.537741 184000208.010061 25894.898714
7 240 0.010642 25021.829878 117061017.212194 26139.878036
8 241 0.011260 22330.030527 105682099.613402 26321.234666
9 340 0.011879 30303.232173 110495600.040281 26439.763232
10 393 0.012644 28033.538906 142430679.293716 26510.665913
11 428 0.013354 26540.824521 140616131.431742 26512.198398
12 501 0.014109 26814.917205 130645670.632247 26456.094515
13 585 0.014893 29045.452987 132404555.126552 26344.476512
14 724 0.015725 24742.467144 127967705.890245 26176.192757
15 893 0.016669 24860.609027 118459257.754330 25933.419938
16 981 0.017639 25655.727442 130734620.038675 25637.509341
17 1153 0.018627 25931.328382 131343656.822416 25297.182270
18 1385 0.019682 25002.169067 137788572.340969 24899.672952
19 1557 0.020783 24161.628073 109284269.332600 24455.948075
20 2017 0.021982 24311.174628 126401600.557856 23947.506919
21 2305 0.023275 23299.914877 118581802.835349 23378.270233
22 2761 0.024635 22797.087285 118817379.757991 22764.944477
23 3185 0.026058 22141.273717 117108594.685788 22113.802490
24 3809 0.027557 21223.705933 130004666.995459 21425.029924
25 4433 0.029141 21018.793785 112702317.478188 20699.940171
26 5322 0.030819 20130.543280 112401514.188145 19939.989448
27 6089 0.032574 19281.992974 120892858.562867 19159.224099
28 7270 0.034419 18079.480793 109070527.247835 18357.934863
29 8861 0.036411 17374.489145 118835070.390741 17518.787179
30 10350 0.038535 16656.092163 106186020.212600 16656.254927
31 11926 0.040738 15698.117794 111716477.939305 15798.136298
32 14314 0.043059 14839.224552 104161606.842708 14935.904410
33 17194 0.045556 14125.431915 104002755.764547 14055.988301
34 19970 0.048189 13091.333379 102394707.058253 13180.872721
35 23330 0.050935 12398.931858 99132461.327785 12324.310099
36 28019 0.053852 11408.365359 96857099.506735 11474.544047
37 32810 0.056943 10626.246771 94989763.721848 10637.875436
38 39011 0.060210 9818.975960 92002904.404307 9820.477259
39 46275 0.063681 9009.507676 88760091.413892 9022.454731
40 54283 0.067342 8279.789959 86290324.688251 8252.520687
41 64447 0.071210 7518.089657 83339002.073923 7512.597860
42 75927 0.075301 6807.151702 80407464.776157 6804.180015
43 89732 0.079622 6102.444970 76655661.979052 6130.525997
44 106183 0.084193 5506.495763 73570556.980529 5492.242136
45 125668 0.089033 4887.356514 69540883.666633 4890.353631
46 148604 0.094155 4326.107623 66067020.745712 4326.437082
47 175353 0.099567 3807.893459 62561758.299188 3802.003971
48 207425 0.105288 3316.611537 58930106.831048 3317.118542
49 244857 0.111334 2867.976511 55275999.942759 2871.622236
50 289677 0.117728 2462.934267 51801125.402902 2465.056259
51 342617 0.124493 2096.884885 48319880.712931 2096.534663
52 405414 0.131652 1763.941414 44779072.083938 1765.158353
53 478986 0.139223 1474.663269 41702588.481681 1470.049947
54 566031 0.147224 1212.179124 38629629.276463 1209.889120
55 668383 0.155679 985.578463 36059759.048987 983.010292
56 738901 0.164493 791.684326 33501022.812654 789.777303
57 725334 0.173923 623.630776 29994477.159710 623.011154
58 690734 0.183891 483.781497 27094912.917724 483.031377
59 629822 0.194412 368.803044 24493901.369487 367.576006
