bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 11065.529243 11011.482528 23469.501712
1 17 0.007540 15352.865007 15382.553631 24018.001733
2 16 0.007948 18281.075614 18644.972078 24475.631515
3 16 0.008428 11937.331839 11898.912901 24944.918797
4 16 0.009062 16260.281549 16406.200787 25459.167977
5 24 0.009404 10966.616745 11104.925979 25692.236114
6 5 0.010053 20951.432962 20902.072745 26057.838726
7 48 0.010488 11676.315608 11662.739946 26251.761448
8 52 0.011302 12025.116557 12009.674947 26519.467063
9 12 0.011788 8168.844673 8095.322158 26626.771464
10 73 0.012661 8194.169878 8249.141492 26735.330260
11 56 0.013399 6646.031629 6665.950807 26754.802341
12 56 0.014118 6533.800428 6571.586959 26720.041315
13 85 0.014919 5748.826794 5776.971818 26628.455914
14 104 0.015855 6123.450104 6105.793633 26462.671885
15 112 0.016716 5365.026600 5364.706588 26263.825763
16 105 0.017749 3984.715808 4006.911017 25978.312695
17 152 0.018521 2785.353258 2794.166246 25737.692330
18 145 0.019564 1975.684142 1977.593809 25382.606881
19 236 0.020658 1622.522557 1619.172358 24981.872044
20 273 0.022004 1056.959767 1063.144020 24458.545989
21 332 0.023389 634.374918 636.956423 23896.545793
22 337 0.024805 473.776326 477.074179 23306.368344
23 368 0.026076 298.021528 299.102494 22769.456936
24 517 0.027581 166.334768 167.236457 22131.337456
25 540 0.029145 96.316840 97.500388 21470.190769
26 685 0.030811 49.739922 49.920233 20774.367163
27 757 0.032566 22.989771 23.305487 20053.986980
28 989 0.034451 9.915049 10.128157 19299.210725
29 1064 0.036439 3.775705 3.949673 18527.523200
30 1277 0.038477 1.454155 1.545755 17764.636799
31 1601 0.040717 0.446788 0.502838 16960.615742
32 1801 0.043096 0.118603 0.149724 16147.369923
33 2157 0.045569 0.029108 0.044298 15345.790021
34 2477 0.048160 0.005921 0.012654 14553.046011
35 2969 0.050893 0.001009 0.003558 13767.768122
36 3462 0.053791 0.000142 0.001066 12989.366816
37 4173 0.056863 0.000016 0.000321 12221.735915
38 5045 0.060185 0.000001 0.000083 11454.063143
39 5794 0.063688 0.000000 0.000021 10709.186560
40 6881 0.067339 0.000000 0.000004 9997.578243
41 8098 0.071214 0.000000 0.000001 9308.199161
42 9585 0.075295 0.000000 0.000000 8648.114974
43 11286 0.079619 0.000000 0.000000 8014.786189
44 13358 0.084185 0.000000 0.000000 7411.642499
45 15758 0.089016 0.000000 0.000000 6838.319420
46 18910 0.094158 0.000000 0.000000 6292.322681
47 21890 0.099576 0.000000 0.000000 5779.509915
48 25991 0.105268 0.000000 0.000000 5300.495224
49 31106 0.111339 0.000000 0.000000 4847.999911
50 36295 0.117753 0.000000 0.000000 4425.930644
51 43006 0.124502 0.000000 0.000000 4034.995311
52 50771 0.131649 0.000000 0.000000 3671.490609
53 60191 0.139212 0.000000 0.000000 3334.678926
54 71044 0.147218 0.000000 0.000000 3023.417267
55 84279 0.155692 0.000000 0.000000 2736.542904
56 92415 0.164505 0.000000 0.000000 2477.048429
57 91386 0.173911 0.000000 0.000000 2236.657854
58 87204 0.183897 0.000000 0.000000 2015.795497
59 79268 0.194425 0.000000 0.000000 1814.734228
