bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 21538.628561 21477.634373 23469.501712
1 17 0.007540 25755.028566 24749.829859 24018.001733
2 16 0.007948 14981.812649 15179.956641 24475.631515
3 16 0.008428 12298.000075 11654.191182 24944.918797
4 16 0.009062 27664.962089 28174.941932 25459.167977
5 24 0.009404 20600.217121 20694.903034 25692.236114
6 5 0.010053 15966.017425 18186.997777 26057.838726
7 48 0.010488 19847.214910 19597.845997 26251.761448
8 52 0.011302 24961.678492 25239.990072 26519.467063
9 12 0.011788 25803.530736 26503.015250 26626.771464
10 73 0.012661 19511.948598 19919.474980 26735.330260
11 56 0.013399 19585.343320 19629.181266 26754.802341
12 56 0.014118 17026.641145 17092.592965 26720.041315
13 85 0.014919 19124.399344 19107.495742 26628.455914
14 104 0.015855 17506.352554 17543.917599 26462.671885
15 112 0.016716 16415.318383 16235.964546 26263.825763
16 105 0.017749 17989.904387 18266.816254 25978.312695
17 152 0.018521 17230.173786 17257.599515 25737.692330
18 145 0.019564 13670.315225 13848.285153 25382.606881
19 236 0.020658 13428.233942 13508.580348 24981.872044
20 273 0.022004 11308.182964 11407.092485 24458.545989
21 332 0.023389 10342.206106 10448.698979 23896.545793
22 337 0.024805 8842.677738 8920.462368 23306.368344
23 368 0.026076 7294.143903 7291.377365 22769.456936
24 517 0.027581 6477.312330 6524.038666 22131.337456
25 540 0.029145 5535.806221 5577.739527 21470.190769
26 685 0.030811 4858.234250 4899.747409 20774.367163
27 757 0.032566 3838.967521 3851.256774 20053.986980
28 989 0.034451 2845.276100 2876.012901 19299.210725
29 1064 0.036439 2207.796270 2245.452148 18527.523200
30 1277 0.038477 1699.637486 1720.189321 17764.636799
31 1601 0.040717 1185.994251 1210.904943 16960.615742
32 1801 0.043096 842.439973 862.078678 16147.369923
33 2157 0.045569 566.717594 581.029721 15345.790021
34 2477 0.048160 363.423738 374.037226 14553.046011
35 2969 0.050893 223.322050 233.127495 13767.768122
36 3462 0.053791 125.208798 131.791325 12989.366816
37 4173 0.056863 70.083914 74.161241 12221.735915
38 5045 0.060185 35.036139 38.292724 11454.063143
39 5794 0.063688 16.483161 18.792329 10709.186560
40 6881 0.067339 7.291457 8.716572 9997.578243
41 8098 0.071214 2.799655 3.665185 9308.199161
42 9585 0.075295 1.056241 1.544420 8648.114974
43 11286 0.079619 0.334774 0.599193 8014.786189
44 13358 0.084185 0.094077 0.231670 7411.642499
45 15758 0.089016 0.023362 0.086117 6838.319420
46 18910 0.094158 0.004851 0.032251 6292.322681
47 21890 0.099576 0.000857 0.011707 5779.509915
48 25991 0.105268 0.000125 0.003936 5300.495224
49 31106 0.111339 0.000014 0.001210 4847.999911
50 36295 0.117753 0.000001 0.000336 4425.930644
51 43006 0.124502 0.000000 0.000082 4034.995311
52 50771 0.131649 0.000000 0.000017 3671.490609
53 60191 0.139212 0.000000 0.000003 3334.678926
54 71044 0.147218 0.000000 0.000000 3023.417267
55 84279 0.155692 0.000000 0.000000 2736.542904
56 92415 0.164505 0.000000 0.000000 2477.048429
57 91386 0.173911 0.000000 0.000000 2236.657854
58 87204 0.183897 0.000000 0.000000 2015.795497
59 79268 0.194425 0.000000 0.000000 1814.734228
