bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 22182.643622 82076556.740653 23239.476831
1 93 0.007610 26163.112801 96961332.881984 23968.043046
2 104 0.008076 26715.522248 102462437.524774 24460.564866
3 80 0.008457 28235.752219 77582530.133369 24811.397522
4 205 0.009030 27244.854007 226745280.910659 25257.529329
5 100 0.009540 24503.423029 114596043.453230 25580.942847
6 209 0.010041 27441.412146 117123973.714698 25838.174114
7 240 0.010642 25521.646805 108164462.388977 26075.574206
8 241 0.011260 26786.762514 91287995.200947 26248.756421
9 340 0.011879 26625.428954 81448298.176318 26358.744896
10 393 0.012644 26056.575448 117890048.141175 26418.642924
11 428 0.013354 27077.377709 113233188.651237 26409.568563
12 501 0.014109 25942.718318 96425441.282491 26341.789207
13 585 0.014893 26905.791224 116371066.770520 26217.683956
14 724 0.015725 25753.587717 105463310.874415 26035.792470
15 893 0.016669 24877.020086 97521936.730964 25777.165622
16 981 0.017639 25919.827804 115209036.436657 25464.600230
17 1153 0.018627 24397.506604 105453052.054581 25106.990484
18 1385 0.019682 24966.153114 116023774.361397 24690.754169
19 1557 0.020783 24735.683805 89922236.416762 24227.271166
20 2017 0.021982 23897.964196 111694058.424885 23697.144289
21 2305 0.023275 22889.837066 98763083.301902 23104.426631
22 2761 0.024635 23059.256036 99245662.776431 22466.436901
23 3185 0.026058 21906.840120 98071255.684373 21789.609253
24 3809 0.027557 20799.512112 100932887.995395 21074.067029
25 4433 0.029141 20224.972554 94044215.225400 20321.130152
26 5322 0.030819 19654.090465 92953629.800892 19532.289418
27 6089 0.032574 18794.575767 94353659.938180 18722.121620
28 7270 0.034419 17699.607421 90052612.069270 17890.945584
29 8861 0.036411 16929.275672 93560723.286293 17020.837613
30 10350 0.038535 16108.154906 88950106.353976 16126.901432
31 11926 0.040738 15054.249598 88551893.719621 15238.051087
32 14314 0.043059 14312.789286 82593488.456466 14345.577116
33 17194 0.045556 13357.013813 82627254.864303 13435.622136
34 19970 0.048189 12618.354332 80780291.911456 12531.667208
35 23330 0.050935 11608.885588 78631626.447938 11648.131219
36 28019 0.053852 10721.979207 77500884.704311 10773.139837
37 32810 0.056943 9947.769409 74043185.425649 9913.497069
38 39011 0.060210 9132.521815 71457743.152488 9075.877117
39 46275 0.063681 8218.225857 68023980.469799 8260.750301
40 54283 0.067342 7497.344228 65804161.868387 7477.385606
41 64447 0.071210 6748.368321 62919665.990567 6728.087539
42 75927 0.075301 6025.527686 59193216.020088 6014.721911
43 89732 0.079622 5321.939821 55855364.326249 5340.901498
44 106183 0.084193 4724.038151 52878167.906421 4707.529278
45 125668 0.089033 4142.096009 49242966.450754 4115.886278
46 148604 0.094155 3578.641505 46346359.781752 3567.715752
47 175353 0.099567 3071.035695 42769885.835060 3064.565458
48 207425 0.105288 2612.164631 39562975.853783 2606.444977
49 244857 0.111334 2194.231220 36350343.644185 2193.016763
50 289677 0.117728 1831.487109 33279121.898811 1823.509005
51 342617 0.124493 1497.650698 30077160.497349 1496.598397
52 405414 0.131652 1212.927475 27129715.253006 1210.779721
53 478986 0.139223 964.711153 24545956.173123 964.368444
54 566031 0.147224 758.934450 22094011.825412 755.102952
55 668383 0.155679 582.036868 20020757.413499 580.268512
56 738901 0.164493 440.091503 17903147.710300 438.448812
57 725334 0.173923 324.023441 15416399.912819 322.674665
58 690734 0.183891 232.375259 13304107.173393 231.500536
59 629822 0.194412 162.896184 11429924.886785 161.558409
