bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 28041.014475 96186664.762841 23230.015565
1 93 0.007610 20148.227019 90754278.979062 23956.593015
2 104 0.008076 20250.918140 90057352.888180 24447.406359
3 80 0.008457 21066.106065 78773631.625783 24796.760507
4 205 0.009030 24405.910432 130081491.080183 25240.543626
5 100 0.009540 23919.878323 139973690.464587 25561.742709
6 209 0.010041 25643.200073 111924640.465515 25816.690406
7 240 0.010642 29100.357385 103586714.041091 26051.224500
8 241 0.011260 30826.279253 70779185.443330 26221.316910
9 340 0.011879 30566.688159 81977478.317629 26328.078788
10 393 0.012644 27442.209023 163652265.724905 26383.821272
11 428 0.013354 26636.572702 110797835.896836 26370.744016
12 501 0.014109 27331.871662 88778789.820797 26298.561329
13 585 0.014893 26681.952616 100485481.986809 26169.750021
14 724 0.015725 25655.313370 100755481.680580 25982.734404
15 893 0.016669 25746.991144 84145562.335677 25718.143332
16 981 0.017639 25127.085287 96679791.312097 25399.319503
17 1153 0.018627 24133.374423 92897756.846421 25035.223413
18 1385 0.019682 23863.720687 97343499.115517 24611.968463
19 1557 0.020783 24488.133441 91317699.022954 24141.092089
20 2017 0.021982 24523.682651 98581303.337178 23602.865349
21 2305 0.023275 22390.123227 95044345.340993 23001.396075
22 2761 0.024635 22685.326533 94089824.317351 22354.236613
23 3185 0.026058 21583.412235 89789931.023436 21667.886484
24 3809 0.027557 20913.956836 94725366.587502 20942.452234
25 4433 0.029141 20427.967532 84722160.981970 20179.263939
26 5322 0.030819 19414.481095 85399868.468589 19379.834517
27 6089 0.032574 18026.151900 88631062.807464 18558.945203
28 7270 0.034419 17388.470043 83478116.017817 17716.935785
29 8861 0.036411 16843.520049 86679365.365876 16835.684705
30 10350 0.038535 15870.816297 81190120.136232 15930.542385
31 11926 0.040738 15033.016166 81278507.084337 15030.837954
32 14314 0.043059 13981.296555 77092025.662446 14127.814121
33 17194 0.045556 13282.170813 76360256.166931 13207.539881
34 19970 0.048189 12172.249798 74514435.966516 12293.868460
35 23330 0.050935 11282.825220 71672352.918747 11401.467075
36 28019 0.053852 10548.885414 70338485.560635 10518.451181
37 32810 0.056943 9653.581151 67349454.786416 9651.823209
38 39011 0.060210 8779.971876 65113395.993026 8808.450306
39 46275 0.063681 8045.485433 62317921.810218 7988.954172
40 54283 0.067342 7183.057551 59539343.249409 7202.799397
41 64447 0.071210 6480.307857 56581306.484910 6452.428987
42 75927 0.075301 5737.136301 54461472.449150 5739.837518
43 89732 0.079622 5116.369132 50711018.012116 5068.742891
44 106183 0.084193 4445.897430 47814789.218539 4440.129954
45 125668 0.089033 3866.998584 44233412.650895 3855.332014
46 148604 0.094155 3319.306336 41238359.316723 3316.093307
47 175353 0.099567 2818.614322 37771022.454797 2823.897258
48 207425 0.105288 2380.619062 34606869.524974 2378.647313
49 244857 0.111334 1985.235815 31706075.735578 1979.840776
50 289677 0.117728 1631.937918 28966590.696067 1626.481060
51 342617 0.124493 1320.801315 25848107.018257 1316.968738
52 405414 0.131652 1049.717438 23093200.328908 1049.457861
53 478986 0.139223 823.495924 20647280.004020 821.855379
54 566031 0.147224 634.333933 18302682.031155 631.460798
55 668383 0.155679 476.556843 16450665.499225 475.109642
56 738901 0.164493 352.487373 14538358.482194 350.729728
57 725334 0.173923 252.764838 12283308.362173 251.410933
58 690734 0.183891 176.027293 10408400.888947 175.142451
59 629822 0.194412 118.840072 8770624.257525 118.279398
