bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 6114.820851 6115.191063 6437.066930
1 17 0.007540 6504.973925 6514.762754 5603.947358
2 16 0.007948 5448.030060 5461.751196 4858.073720
3 16 0.008428 2959.525232 2988.784445 4047.761825
4 16 0.009062 5082.806745 5059.433176 3110.953069
5 24 0.009404 2744.848237 2765.725832 2670.694285
6 5 0.010053 1277.398304 1225.836835 1960.228519
7 48 0.010488 1389.666254 1392.757372 1571.384379
8 52 0.011302 1209.382071 1200.767092 1007.810225
9 12 0.011788 813.476114 824.936622 759.145355
10 73 0.012661 550.571816 546.369731 441.438508
11 56 0.013399 231.295838 232.108443 270.060481
12 56 0.014118 160.077066 162.115888 162.466829
13 85 0.014919 98.077804 98.548267 89.259999
14 104 0.015855 46.494074 46.941358 42.450374
15 112 0.016716 23.533142 23.940267 20.542826
16 105 0.017749 9.102351 9.196598 8.169266
17 152 0.018521 4.008584 4.071727 3.953511
18 145 0.019564 1.462866 1.582125 1.409338
19 236 0.020658 0.470360 0.520988 0.449970
20 273 0.022004 0.117744 0.133427 0.101244
21 332 0.023389 0.023567 0.028755 0.019786
22 337 0.024805 0.003903 0.008267 0.003363
23 368 0.026076 0.000728 0.002512 0.000627
24 517 0.027581 0.000103 0.000687 0.000077
25 540 0.029145 0.000009 0.000217 0.000008
26 685 0.030811 0.000001 0.000053 0.000001
27 757 0.032566 0.000000 0.000014 0.000000
28 989 0.034451 0.000000 0.000003 0.000000
29 1064 0.036439 0.000000 0.000000 0.000000
30 1277 0.038477 0.000000 0.000000 0.000000
31 1601 0.040717 0.000000 0.000000 0.000000
32 1801 0.043096 0.000000 0.000000 0.000000
33 2157 0.045569 0.000000 0.000000 0.000000
34 2477 0.048160 0.000000 0.000000 0.000000
35 2969 0.050893 0.000000 0.000000 0.000000
36 3462 0.053791 0.000000 0.000000 0.000000
37 4173 0.056863 0.000000 0.000000 0.000000
38 5045 0.060185 0.000000 0.000000 0.000000
39 5794 0.063688 0.000000 0.000000 0.000000
40 6881 0.067339 0.000000 0.000000 0.000000
41 8098 0.071214 0.000000 0.000000 0.000000
42 9585 0.075295 0.000000 0.000000 0.000000
43 11286 0.079619 0.000000 0.000000 0.000000
44 13358 0.084185 0.000000 0.000000 0.000000
45 15758 0.089016 0.000000 0.000000 0.000000
46 18910 0.094158 0.000000 0.000000 0.000000
47 21890 0.099576 0.000000 0.000000 0.000000
48 25991 0.105268 0.000000 0.000000 0.000000
49 31106 0.111339 0.000000 0.000000 0.000000
50 36295 0.117753 0.000000 0.000000 0.000000
51 43006 0.124502 0.000000 0.000000 0.000000
52 50771 0.131649 0.000000 0.000000 0.000000
53 60191 0.139212 0.000000 0.000000 0.000000
54 71044 0.147218 0.000000 0.000000 0.000000
55 84279 0.155692 0.000000 0.000000 0.000000
56 98804 0.164630 0.000000 0.000000 0.000000
57 117244 0.174067 0.000000 0.000000 0.000000
58 139124 0.184085 0.000000 0.000000 0.000000
59 163748 0.194672 0.000000 0.000000 0.000000
