bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 23877.929358 209320087.810723 23311.853679
1 93 0.007610 21864.866848 168914921.290731 24055.660291
2 104 0.008076 27927.439098 191046231.576190 24561.281836
3 80 0.008457 23021.065353 193321525.454528 24923.456369
4 205 0.009030 23408.650653 1132806789.577369 25387.615819
5 100 0.009540 26387.144125 426813205.886417 25728.038433
6 209 0.010041 27527.540869 243854528.914277 26002.822132
7 240 0.010642 27143.424008 231526895.752615 26262.269464
8 241 0.011260 26907.531067 213051662.760791 26459.243557
9 340 0.011879 27681.326412 197180828.898168 26594.103328
10 393 0.012644 29314.025177 344440395.289000 26686.073626
11 428 0.013354 26334.335920 265063971.187005 26707.937933
12 501 0.014109 26178.195944 248195280.580705 26674.244605
13 585 0.014893 25958.067641 347613159.459217 26586.631846
14 724 0.015725 26059.265739 264904872.112231 26444.552120
15 893 0.016669 25716.003626 213681877.467987 26232.370669
16 981 0.017639 24740.940205 246178867.600242 25968.671845
17 1153 0.018627 25441.155063 233935867.879341 25661.857141
18 1385 0.019682 25313.401370 268474727.252620 25300.766036
19 1557 0.020783 25403.019635 215212874.935331 24895.591036
20 2017 0.021982 24537.650081 285179830.177846 24429.620920
21 2305 0.023275 24035.939476 222947137.638203 23906.575452
22 2761 0.024635 22651.835277 223241061.264967 23342.016906
23 3185 0.026058 22794.253301 231918974.945317 22741.959357
24 3809 0.027557 21837.046168 252874033.642519 22106.783325
25 4433 0.029141 21472.012136 228343916.618352 21437.876917
26 5322 0.030819 20505.529920 223239016.028476 20736.733982
27 6089 0.032574 20169.273030 232931394.795678 20016.437297
28 7270 0.034419 19243.274228 219810406.090882 19277.346033
29 8861 0.036411 18451.043166 224751876.079856 18503.537289
30 10350 0.038535 17649.793925 214172981.606101 17708.395162
31 11926 0.040738 16793.761983 217612892.495482 16917.532475
32 14314 0.043059 16338.071435 210131715.415396 16123.034605
33 17194 0.045556 15431.952399 210789632.160313 15312.307408
34 19970 0.048189 14732.933011 211586359.085591 14505.931500
35 23330 0.050935 13704.018830 203419255.010820 13716.401913
36 28019 0.053852 12903.552048 204186448.685146 12932.662523
37 32810 0.056943 12141.881492 201610669.818918 12160.250496
38 39011 0.060210 11479.269986 198524930.985146 11404.548255
39 46275 0.063681 10667.517210 195246765.726293 10665.286755
40 54283 0.067342 9986.156459 196844008.253495 9950.133600
41 64447 0.071210 9307.513604 192991539.504317 9260.451075
42 75927 0.075301 8636.004426 191219000.830799 8597.170999
43 89732 0.079622 7987.911280 185155777.879097 7962.863441
44 106183 0.084193 7345.429194 182111860.059267 7357.604144
45 125668 0.089033 6782.513712 178303706.011069 6781.849927
46 148604 0.094155 6239.240940 175450776.803158 6236.600302
47 175353 0.099567 5736.117571 171733957.925738 5722.853368
48 207425 0.105288 5245.833229 166434918.025812 5240.268415
49 244857 0.111334 4795.378016 163747237.284468 4788.348394
50 289677 0.117728 4374.103855 161197447.858671 4366.378147
51 342617 0.124493 3977.866900 156350611.165663 3973.297614
52 405414 0.131652 3611.033215 152845860.544295 3608.147969
53 478986 0.139223 3272.700080 149747152.431714 3270.167802
54 566031 0.147224 2961.386571 146145109.709189 2958.315168
55 668383 0.155679 2673.402311 142997956.012188 2671.368920
56 738901 0.164493 2414.064972 140121666.040094 2411.216715
57 725334 0.173923 2167.655041 135334984.597135 2169.698343
58 690734 0.183891 1955.007228 131243523.166524 1948.849190
59 629822 0.194412 1741.459617 127812780.826801 1747.629931
