bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 17192.190247 19724.423930 23469.501712
1 17 0.007540 27718.968777 31862.714884 24018.001733
2 16 0.007948 22199.828363 21369.064184 24475.631515
3 16 0.008428 14341.014282 15192.986368 24944.918797
4 16 0.009062 22017.746354 24961.901915 25459.167977
5 24 0.009404 24659.862195 24631.830897 25692.236114
6 5 0.010053 26575.004842 31489.131800 26057.838726
7 48 0.010488 29719.953908 31727.658651 26251.761448
8 52 0.011302 25042.340726 26641.592733 26519.467063
9 12 0.011788 22128.608511 20297.419270 26626.771464
10 73 0.012661 31592.285839 34477.974685 26735.330260
11 56 0.013399 27432.159753 27042.549122 26754.802341
12 56 0.014118 24007.028777 24504.038328 26720.041315
13 85 0.014919 30335.698999 31031.338545 26628.455914
14 104 0.015855 23624.696434 25895.580964 26462.671885
15 112 0.016716 25446.479748 25303.583744 26263.825763
16 105 0.017749 26509.176251 27906.779421 25978.312695
17 152 0.018521 22166.410762 23519.036628 25737.692330
18 145 0.019564 27278.624344 27968.095494 25382.606881
19 236 0.020658 25211.140817 26042.963983 24981.872044
20 273 0.022004 23862.849349 25061.277002 24458.545989
21 332 0.023389 24473.389599 25207.080245 23896.545793
22 337 0.024805 20779.607701 21844.787438 23306.368344
23 368 0.026076 20123.154739 20735.056773 22769.456936
24 517 0.027581 21102.349673 22102.344879 22131.337456
25 540 0.029145 19420.929090 20274.174163 21470.190769
26 685 0.030811 17858.941542 18470.095833 20774.367163
27 757 0.032566 19244.735674 20778.474225 20053.986980
28 989 0.034451 16781.247070 17559.806777 19299.210725
29 1064 0.036439 15295.679999 16394.398518 18527.523200
30 1277 0.038477 15547.807882 16610.318613 17764.636799
31 1601 0.040717 14665.583899 15651.352529 16960.615742
32 1801 0.043096 13490.198052 14716.871412 16147.369923
33 2157 0.045569 12698.897140 13641.999457 15345.790021
34 2477 0.048160 11616.832049 12749.359564 14553.046011
35 2969 0.050893 10687.355451 11464.752729 13767.768122
36 3462 0.053791 9763.021047 10721.254623 12989.366816
37 4173 0.056863 8642.592409 9535.555375 12221.735915
38 5045 0.060185 7908.468134 8791.860899 11454.063143
39 5794 0.063688 7083.449126 7776.354773 10709.186560
40 6881 0.067339 6170.540783 6923.923689 9997.578243
41 8098 0.071214 5693.656497 6346.319637 9308.199161
42 9585 0.075295 4982.905700 5581.984277 8648.114974
43 11286 0.079619 4308.006130 4880.799873 8014.786189
44 13358 0.084185 3662.672478 4194.997161 7411.642499
45 15758 0.089016 3116.981349 3619.189124 6838.319420
46 18910 0.094158 2597.270109 3059.918460 6292.322681
47 21890 0.099576 2157.651325 2590.806177 5779.509915
48 25991 0.105268 1758.341839 2121.621313 5300.495224
49 31106 0.111339 1404.104607 1726.666428 4847.999911
50 36295 0.117753 1115.834598 1406.269569 4425.930644
51 43006 0.124502 863.404103 1111.605849 4034.995311
52 50771 0.131649 650.284372 862.374756 3671.490609
53 60191 0.139212 484.096538 665.084855 3334.678926
54 71044 0.147218 346.897729 501.646893 3023.417267
55 84279 0.155692 244.293020 376.499923 2736.542904
56 92415 0.164505 165.314032 276.012478 2477.048429
57 91386 0.173911 109.700552 197.206162 2236.657854
58 87204 0.183897 69.128112 138.641073 2015.795497
59 79268 0.194425 41.821215 96.132697 1814.734228
