bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 26120.199544 185535866.308556 23298.912730
1 93 0.007610 23335.479226 160283127.109838 24039.990897
2 104 0.008076 21688.657253 185706795.052825 24543.266297
3 80 0.008457 27629.338895 178976822.591082 24903.408808
4 205 0.009030 26377.938354 574997432.906434 25364.337049
5 100 0.009540 22894.826860 247647047.418397 25701.709469
6 209 0.010041 25942.536036 196858535.231729 25973.343943
7 240 0.010642 23969.195169 241430945.471559 26228.833264
8 241 0.011260 26954.216663 175668597.287897 26421.533164
9 340 0.011879 27661.046135 174992850.184730 26551.921445
10 393 0.012644 26368.397283 456817060.980850 26638.120381
11 428 0.013354 26940.288125 226826202.491778 26654.411550
12 501 0.014109 27919.789144 190956001.630648 26614.571353
13 585 0.014893 28731.258417 249619609.613187 26520.369592
14 724 0.015725 27237.973906 198690510.653208 26371.091533
15 893 0.016669 25984.930149 173485177.350614 26150.498541
16 981 0.017639 24887.162045 224766017.537125 25877.932876
17 1153 0.018627 25551.043208 200320598.251712 25561.882163
18 1385 0.019682 26922.956172 256150921.378541 25190.740596
19 1557 0.020783 24820.347893 185263953.726289 24774.910517
20 2017 0.021982 24702.831482 213337994.587145 24297.180836
21 2305 0.023275 24642.486327 186423422.535327 23761.319413
22 2761 0.024635 23558.939205 188658533.894862 23183.198156
23 3185 0.026058 23132.125242 193605801.116736 22568.895261
24 3809 0.027557 21946.899871 208608782.016803 21918.727669
25 4433 0.029141 20847.001981 186738000.356860 21234.051171
26 5322 0.030819 20913.426646 184124985.164510 20516.335103
27 6089 0.032574 19462.484660 189806239.697351 19778.918686
28 7270 0.034419 18626.643602 182126019.095469 19022.125299
29 8861 0.036411 18259.142033 190334289.290426 18229.606316
30 10350 0.038535 17674.095587 177313261.870212 17415.027152
31 11926 0.040738 16995.491294 175211478.385539 16604.603897
32 14314 0.043059 15572.799638 175891202.004083 15790.216282
33 17194 0.045556 15104.131177 170550679.159268 14958.940793
34 19970 0.048189 14212.349553 170954013.024296 14131.874458
35 23330 0.050935 13258.093139 169492941.199339 13321.848708
36 28019 0.053852 12578.599370 168118259.590794 12517.542632
37 32810 0.056943 11806.530953 163086619.066149 11724.665004
38 39011 0.060210 10911.864355 160579948.451490 10948.778756
39 46275 0.063681 10161.010632 157952342.230858 10189.655318
40 54283 0.067342 9455.800611 154685842.288665 9455.226216
41 64447 0.071210 8735.463961 150204836.688959 8746.958195
42 75927 0.075301 8082.324672 149265994.500615 8065.884362
43 89732 0.079622 7411.444398 144237329.516702 7414.727834
44 106183 0.084193 6825.658706 140943340.553919 6793.657843
45 125668 0.089033 6222.172872 138019650.944031 6203.242300
46 148604 0.094155 5652.527263 134354577.312417 5644.611322
47 175353 0.099567 5120.709232 129479278.137707 5118.895227
48 207425 0.105288 4634.460018 125657457.354995 4625.854098
49 244857 0.111334 4169.396264 121657383.375702 4165.089620
50 289677 0.117728 3744.957281 120428544.690828 3735.981013
51 342617 0.124493 3345.791484 114196658.458663 3337.556516
52 405414 0.131652 2974.960594 110037010.023899 2968.946279
53 478986 0.139223 2628.835972 106338334.751229 2629.473387
54 566031 0.147224 2314.085875 102750585.176437 2318.167158
55 668383 0.155679 2032.886654 99725406.126569 2033.865764
56 738901 0.164493 1780.482520 96549143.915551 1778.429768
57 725334 0.173923 1546.252129 92280446.000825 1543.858467
58 690734 0.183891 1335.362672 87816646.613223 1332.168815
59 629822 0.194412 1145.090447 84726804.644809 1142.313226
