bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 25109.140341 171702357.091491 23305.813675
1 93 0.007610 26551.579845 192839822.301132 24048.346637
2 104 0.008076 24109.580424 229432579.017613 24552.872939
3 80 0.008457 28154.276285 184821199.368628 24914.098833
4 205 0.009030 23229.647991 569868398.081570 25376.749735
5 100 0.009540 21328.089715 307000249.825991 25715.748228
6 209 0.010041 25560.498191 230038642.481481 25989.061483
7 240 0.010642 24952.635365 206027309.338248 26246.660603
8 241 0.011260 26249.840941 188186274.110414 26441.638680
9 340 0.011879 25793.830730 186668328.397030 26574.410116
10 393 0.012644 25427.882047 254962696.819900 26663.684712
11 428 0.013354 26800.216944 230609408.253087 26682.945591
12 501 0.014109 25666.563937 195419699.067549 26646.380456
13 585 0.014893 25193.024450 239074632.589518 26555.688883
14 724 0.015725 26426.894693 249450653.005889 26410.245081
15 893 0.016669 26006.442899 180428491.564318 26194.131826
16 981 0.017639 25779.701023 268460274.585344 25926.287466
17 1153 0.018627 25731.880809 201683266.310945 25615.153585
18 1385 0.019682 25563.867870 253072600.985476 25249.361155
19 1557 0.020783 25027.299424 193987449.459945 24839.200480
20 2017 0.021982 24176.227896 220844949.271164 24367.725948
21 2305 0.023275 23610.146234 207119723.737440 23838.679127
22 2761 0.024635 23505.714119 196202241.546664 23267.766545
23 3185 0.026058 23083.867208 210419154.475422 22661.031578
24 3809 0.027557 21885.616390 224485264.497745 22018.824071
25 4433 0.029141 22101.660120 197861390.763635 21342.515893
26 5322 0.030819 20856.674726 197258645.420564 20633.588067
27 6089 0.032574 19753.300506 204985175.432630 19905.242397
28 7270 0.034419 19555.647288 191040173.282449 19157.819660
29 8861 0.036411 18169.585959 198026452.857650 18375.194315
30 10350 0.038535 17571.178294 189187262.513925 17570.880101
31 11926 0.040738 16691.249125 190456569.720006 16770.771922
32 14314 0.043059 15967.764544 185225691.500716 15966.855293
33 17194 0.045556 15061.741320 187047669.023403 15146.376028
34 19970 0.048189 14267.838092 184838822.175080 14330.155120
35 23330 0.050935 13562.177309 181463296.354637 13530.843569
36 28019 0.053852 12733.238867 180754735.137284 12737.253946
37 32810 0.056943 11936.794399 179493947.330708 11954.999200
38 39011 0.060210 11268.039422 171771705.216347 11189.541649
39 46275 0.063681 10428.914788 173353469.005863 10440.623860
40 54283 0.067342 9732.482732 169228153.331903 9716.033067
41 64447 0.071210 9009.464466 168188587.329896 9017.173636
42 75927 0.075301 8385.031750 164202998.671587 8345.017094
43 89732 0.079622 7691.292579 160593564.946502 7702.198545
44 106183 0.084193 7101.285421 158838079.763989 7088.828492
45 125668 0.089033 6477.270690 155304642.734111 6505.406528
46 148604 0.094155 5954.517411 152045040.279675 5952.984786
47 175353 0.099567 5422.046560 146671688.605980 5432.615589
48 207425 0.105288 4946.733859 143246321.958924 4943.996089
49 244857 0.111334 4493.812334 139923692.183252 4486.666191
50 289677 0.117728 4065.002683 137949218.930746 4059.945703
51 342617 0.124493 3666.695562 132478384.095320 3662.806234
52 405414 0.131652 3292.508940 128519630.618057 3294.322199
53 478986 0.139223 2953.459298 125764846.796353 2953.766207
54 566031 0.147224 2646.084281 122214219.537598 2640.125575
55 668383 0.155679 2345.412883 119122946.272393 2352.204791
56 738901 0.164493 2095.334766 115757549.727704 2091.910661
57 725334 0.173923 1851.975607 111088526.180940 1851.099726
58 690734 0.183891 1628.997235 107419381.729675 1631.834261
59 629822 0.194412 1433.227933 103694289.680035 1433.087854
