bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 18851.418751 1164521.973591 19517.716836
1 93 0.007610 19576.922051 1152777.643684 19529.350514
2 104 0.008076 20435.569861 1207347.298483 19422.505874
3 80 0.008457 15370.839750 1599596.195106 19266.743330
4 205 0.009030 20291.459650 1522182.652805 18930.786679
5 100 0.009540 17965.083090 1486651.983935 18541.853639
6 209 0.010041 19411.837497 1374928.955960 18089.488367
7 240 0.010642 16726.892879 1387631.063960 17471.555997
8 241 0.011260 17045.128110 1188691.991480 16765.694854
9 340 0.011879 16718.059514 1167032.286706 16004.403656
10 393 0.012644 14522.421479 1177204.719997 15010.710817
11 428 0.013354 14554.215158 1167247.284460 14057.718468
12 501 0.014109 13502.397703 1105584.197507 13029.552107
13 585 0.014893 10953.461782 1014248.700238 11966.296969
14 724 0.015725 10935.239786 940933.252986 10860.466287
15 893 0.016669 9892.808796 838659.327638 9650.206111
16 981 0.017639 8645.055401 896412.012393 8474.904511
17 1153 0.018627 7428.999276 792312.800910 7361.347948
18 1385 0.019682 6283.949551 774878.137769 6275.188331
19 1557 0.020783 5116.926326 676171.264377 5260.161969
20 2017 0.021982 4113.797662 680457.747369 4291.974659
21 2305 0.023275 3418.238177 570678.519836 3402.289644
22 2761 0.024635 2696.173270 510385.230335 2627.796377
23 3185 0.026058 2051.462523 440780.392089 1974.684937
24 3809 0.027557 1475.949323 393379.731932 1437.430711
25 4433 0.029141 1005.570122 315337.548023 1009.016431
26 5322 0.030819 677.064868 258644.125290 679.469038
27 6089 0.032574 449.842422 221529.119474 439.432596
28 7270 0.034419 275.896649 168163.623872 271.229005
29 8861 0.036411 156.215910 132578.994014 156.689601
30 10350 0.038535 85.629556 95897.900659 84.568473
31 11926 0.040738 43.814923 69712.596977 43.086195
32 14314 0.043059 21.005662 47993.682028 20.392272
33 17194 0.045556 9.054250 32033.986583 8.733880
34 19970 0.048189 3.529633 20023.005845 3.403154
35 23330 0.050935 1.261486 11881.226753 1.208207
36 28019 0.053852 0.404538 6759.661291 0.379237
37 32810 0.056943 0.111397 3516.501151 0.103965
38 39011 0.060210 0.027233 1708.306988 0.024586
39 46275 0.063681 0.005480 772.967943 0.004893
40 54283 0.067342 0.000931 312.738354 0.000812
41 64447 0.071210 0.000131 115.772176 0.000110
42 75927 0.075301 0.000015 36.346290 0.000012
43 89732 0.079622 0.000001 10.522202 0.000001
44 106183 0.084193 0.000000 2.538525 0.000000
45 125668 0.089033 0.000000 0.525092 0.000000
46 148604 0.094155 0.000000 0.090361 0.000000
47 175353 0.099567 0.000000 0.012744 0.000000
48 207425 0.105288 0.000000 0.001407 0.000000
49 244857 0.111334 0.000000 0.000124 0.000000
50 289677 0.117728 0.000000 0.000008 0.000000
51 342617 0.124493 0.000000 0.000000 0.000000
52 405414 0.131652 0.000000 0.000000 0.000000
53 478986 0.139223 0.000000 0.000000 0.000000
54 566031 0.147224 0.000000 0.000000 0.000000
55 668383 0.155679 0.000000 0.000000 0.000000
56 738901 0.164493 0.000000 0.000000 0.000000
57 725334 0.173923 0.000000 0.000000 0.000000
58 690734 0.183891 0.000000 0.000000 0.000000
59 629822 0.194412 0.000000 0.000000 0.000000
