bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 8 0.007109 29423.548877 28168.315800 23469.501712
1 17 0.007540 14330.962711 13944.258687 24018.001733
2 16 0.007948 16730.932217 17346.345081 24475.631515
3 16 0.008428 23831.821695 25282.752973 24944.918797
4 16 0.009062 23503.554078 26790.672001 25459.167977
5 24 0.009404 20086.044495 20248.403076 25692.236114
6 5 0.010053 20461.611405 22735.992104 26057.838726
7 48 0.010488 20212.046097 19811.002035 26251.761448
8 52 0.011302 22825.341378 23557.776525 26519.467063
9 12 0.011788 19078.010800 19741.039910 26626.771464
10 73 0.012661 24474.752015 24436.748686 26735.330260
11 56 0.013399 28518.146130 27494.387274 26754.802341
12 56 0.014118 27188.235414 26786.846681 26720.041315
13 85 0.014919 26293.121078 25644.095184 26628.455914
14 104 0.015855 21212.000778 21756.798487 26462.671885
15 112 0.016716 22729.897258 22789.765576 26263.825763
16 105 0.017749 19897.290540 20043.994611 25978.312695
17 152 0.018521 20264.872490 20618.837633 25737.692330
18 145 0.019564 22539.660881 22745.317345 25382.606881
19 236 0.020658 21667.238115 22079.304430 24981.872044
20 273 0.022004 19925.072410 20680.387853 24458.545989
21 332 0.023389 19313.046559 19381.606741 23896.545793
22 337 0.024805 18782.020969 19351.976322 23306.368344
23 368 0.026076 16820.974520 17596.907127 22769.456936
24 517 0.027581 16261.749763 16630.403399 22131.337456
25 540 0.029145 14330.001345 14361.218280 21470.190769
26 685 0.030811 15042.308951 15362.713677 20774.367163
27 757 0.032566 14161.399344 14619.664869 20053.986980
28 989 0.034451 12126.234293 12444.688104 19299.210725
29 1064 0.036439 10741.008828 11039.916057 18527.523200
30 1277 0.038477 9816.524588 10083.210775 17764.636799
31 1601 0.040717 8722.715488 9076.217157 16960.615742
32 1801 0.043096 7736.279644 7979.443841 16147.369923
33 2157 0.045569 6628.128225 6900.681991 15345.790021
34 2477 0.048160 5767.063493 5976.470137 14553.046011
35 2969 0.050893 4973.483747 5192.533082 13767.768122
36 3462 0.053791 4046.497712 4221.752233 12989.366816
37 4173 0.056863 3378.040169 3531.260840 12221.735915
38 5045 0.060185 2692.976993 2846.521983 11454.063143
39 5794 0.063688 2108.731439 2251.336521 10709.186560
40 6881 0.067339 1652.818806 1771.078371 9997.578243
41 8098 0.071214 1214.529579 1314.517597 9308.199161
42 9585 0.075295 890.536897 965.509097 8648.114974
43 11286 0.079619 644.751182 709.244977 8014.786189
44 13358 0.084185 438.777406 492.076856 7411.642499
45 15758 0.089016 294.672837 337.904781 6838.319420
46 18910 0.094158 183.056226 216.011636 6292.322681
47 21890 0.099576 111.428060 134.910717 5779.509915
48 25991 0.105268 63.722771 81.243888 5300.495224
49 31106 0.111339 34.905592 47.453801 4847.999911
50 36295 0.117753 17.543933 26.135872 4425.930644
51 43006 0.124502 8.335869 13.781948 4034.995311
52 50771 0.131649 3.700538 7.127906 3671.490609
53 60191 0.139212 1.488706 3.489932 3334.678926
54 71044 0.147218 0.545668 1.673242 3023.417267
55 84279 0.155692 0.178236 0.793370 2736.542904
56 92415 0.164505 0.052467 0.383842 2477.048429
57 91386 0.173911 0.013595 0.169131 2236.657854
58 87204 0.183897 0.002970 0.070693 2015.795497
59 79268 0.194425 0.000557 0.027642 1814.734228
