bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 104.670353 82.625011 100.000000
1 93 0.007610 100.890593 76.260678 100.000000
2 104 0.008076 109.407188 78.915451 100.000000
3 80 0.008457 109.874702 74.345824 100.000000
4 205 0.009030 105.585431 69.490145 100.000000
5 100 0.009540 90.647075 56.286665 100.000000
6 209 0.010041 103.404822 61.936380 100.000000
7 240 0.010642 95.714687 53.013823 100.000000
8 241 0.011260 98.758404 51.013036 100.000000
9 340 0.011879 106.058414 48.998133 100.000000
10 393 0.012644 103.044074 43.374132 100.000000
11 428 0.013354 102.314170 39.399603 100.000000
12 501 0.014109 103.195638 34.595156 100.000000
13 585 0.014893 98.769457 30.291967 100.000000
14 724 0.015725 99.860491 26.640497 100.000000
15 893 0.016669 93.886455 20.766319 100.000000
16 981 0.017639 95.797561 17.863632 100.000000
17 1153 0.018627 100.824809 15.660216 100.000000
18 1385 0.019682 99.482567 12.339795 100.000000
19 1557 0.020783 99.868562 9.858090 100.000000
20 2017 0.021982 100.576641 7.429555 100.000000
21 2305 0.023275 100.253412 5.502497 100.000000
22 2761 0.024635 100.381104 3.935334 100.000000
23 3185 0.026058 101.334082 2.682251 100.000000
24 3809 0.027557 103.584644 1.811163 100.000000
25 4433 0.029141 102.273997 1.129569 100.000000
26 5322 0.030819 99.196105 0.674306 100.000000
27 6089 0.032574 99.908178 0.386858 100.000000
28 7270 0.034419 99.193745 0.210093 100.000000
29 8861 0.036411 101.150010 0.112884 100.000000
30 10350 0.038535 100.643053 0.057078 100.000000
31 11926 0.040738 100.479295 0.028105 100.000000
32 14314 0.043059 98.876981 0.013700 100.000000
33 17194 0.045556 99.945020 0.006501 100.000000
34 19970 0.048189 100.126670 0.002990 100.000000
35 23330 0.050935 100.269987 0.001360 100.000000
36 28019 0.053852 99.353785 0.000570 100.000000
37 32810 0.056943 100.890610 0.000223 100.000000
38 39011 0.060210 99.838543 0.000078 100.000000
39 46275 0.063681 100.204530 0.000024 100.000000
40 54283 0.067342 99.810502 0.000007 100.000000
41 64447 0.071210 100.604392 0.000002 100.000000
42 75927 0.075301 100.174005 0.000000 100.000000
43 89732 0.079622 99.934432 0.000000 100.000000
44 106183 0.084193 100.255160 0.000000 100.000000
45 125668 0.089033 100.156184 0.000000 100.000000
46 148604 0.094155 99.984102 0.000000 100.000000
47 175353 0.099567 99.961437 0.000000 100.000000
48 207425 0.105288 99.846542 0.000000 100.000000
49 244857 0.111334 100.129278 0.000000 100.000000
50 289677 0.117728 99.834963 0.000000 100.000000
51 342617 0.124493 100.119077 0.000000 100.000000
52 405414 0.131652 99.762980 0.000000 100.000000
53 478986 0.139223 100.256165 0.000000 100.000000
54 566031 0.147224 100.262293 0.000000 100.000000
55 668383 0.155679 100.093811 0.000000 100.000000
56 738901 0.164493 99.735454 0.000000 100.000000
57 725334 0.173923 100.012576 0.000000 100.000000
58 690734 0.183891 100.032165 0.000000 100.000000
59 629822 0.194412 99.965859 0.000000 100.000000
