bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 89 0.006366 21455.856573 21455.856573 22312.865547
1 64 0.006811 20482.416519 20482.416519 23006.661628
2 84 0.007306 20763.656512 20763.656512 23685.745261
3 69 0.007672 24706.553931 24706.553931 24127.793274
4 116 0.008103 22672.485987 22672.485987 24589.871330
5 145 0.008677 30142.595163 30142.595163 25114.265768
6 152 0.009179 26033.104262 26033.104262 25496.094510
7 164 0.009731 27726.529232 27726.529232 25841.709589
8 221 0.010292 22707.540485 22707.540485 26122.860958
9 240 0.010906 25447.305331 25447.305331 26357.806960
10 385 0.011641 27726.333637 27726.333637 26552.908534
11 337 0.012403 24800.250259 24800.250259 26669.362211
12 416 0.013082 27758.819023 27758.819023 26710.727044
13 477 0.013835 27186.960393 27186.960393 26697.797966
14 573 0.014610 28050.589263 28050.589263 26629.676966
15 812 0.015539 25896.261952 25896.261952 26486.661566
16 877 0.016537 26272.256309 26272.256309 26272.093615
17 933 0.017491 26982.688139 26982.688139 26019.621910
18 1329 0.018547 25748.142727 25748.142727 25696.809061
19 1337 0.019663 25466.639576 25466.639576 25317.468416
20 1733 0.020813 24738.451038 24738.451038 24894.970845
21 2117 0.022092 23946.536850 23946.536850 24397.833864
22 2353 0.023419 24270.899994 24270.899994 23860.701824
23 2881 0.024802 22986.330031 22986.330031 23286.246187
24 3485 0.026302 23196.874804 23196.874804 22654.326413
25 4137 0.027903 21745.263734 21745.263734 21977.310040
26 4934 0.029599 21325.816865 21325.816865 21264.173274
27 5689 0.031363 20546.658337 20546.658337 20532.199098
28 6974 0.033242 19613.483694 19613.483694 19768.376673
29 8101 0.035232 18877.469522 18877.469522 18982.094040
30 9894 0.037353 17934.772380 17934.772380 18172.288732
31 11742 0.039619 17363.453162 17363.453162 17341.992197
32 13906 0.042011 16752.217494 16752.217494 16506.083731
33 16446 0.044532 15669.382389 15669.382389 15670.449258
34 19622 0.047199 14705.447446 14705.447446 14836.541883
35 23414 0.050034 14135.109919 14135.109919 14004.752609
36 27735 0.053037 13245.577874 13245.577874 13183.151416
37 33207 0.056220 12405.312210 12405.312210 12374.734891
38 39742 0.059614 11602.751708 11602.751708 11579.168067
39 47123 0.063210 10808.851745 10808.851745 10804.986853
40 55895 0.067007 10066.220762 10066.220762 10058.072101
41 66760 0.071032 9400.405376 9400.405376 9337.758389
42 79415 0.075302 8632.281235 8632.281235 8645.932898
43 95068 0.079839 7962.501290 7962.501290 7983.308811
44 112152 0.084636 7323.435806 7323.435806 7354.774247
45 134824 0.089724 6759.943629 6759.943629 6758.827377
46 159792 0.095128 6164.522188 6164.522188 6195.637581
47 190845 0.100851 5673.932412 5673.932412 5666.827624
48 227381 0.106927 5187.398427 5187.398427 5171.020208
49 269601 0.113353 4688.394541 4688.394541 4709.488421
50 322450 0.120166 4277.574742 4277.574742 4280.199130
51 383822 0.127400 3884.270425 3884.270425 3881.681730
52 457222 0.135066 3506.612700 3506.612700 3513.598191
53 543855 0.143187 3167.257839 3167.257839 3174.722012
54 648747 0.151798 2866.361143 2866.361143 2863.345374
55 756052 0.160863 2587.417793 2587.417793 2579.875527
56 766244 0.170445 2323.880173 2323.880173 2321.226464
57 735654 0.180672 2085.123271 2085.123271 2083.613079
58 678384 0.191488 1869.738040 1869.738040 1867.858741
59 586472 0.202921 1672.737325 1672.737325 1672.448456
