bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 89 0.006366 23578.142431 23578.142431 22312.865547
1 64 0.006811 18718.171988 18718.171988 23006.661628
2 84 0.007306 24413.964703 24413.964703 23685.745261
3 69 0.007672 22985.722355 22985.722355 24127.793274
4 116 0.008103 19611.101159 19611.101159 24589.871330
5 145 0.008677 25976.630923 25976.630923 25114.265768
6 152 0.009179 20845.722941 20845.722941 25496.094510
7 164 0.009731 28415.059987 28415.059987 25841.709589
8 221 0.010292 23930.647628 23930.647628 26122.860958
9 240 0.010906 23789.951724 23789.951724 26357.806960
10 385 0.011641 26563.253138 26563.253138 26552.908534
11 337 0.012403 26196.359570 26196.359570 26669.362211
12 416 0.013082 26733.994466 26733.994466 26710.727044
13 477 0.013835 26823.202734 26823.202734 26697.797966
14 573 0.014610 26810.840692 26810.840692 26629.676966
15 812 0.015539 25893.470831 25893.470831 26486.661566
16 877 0.016537 25737.715455 25737.715455 26272.093615
17 933 0.017491 27018.991481 27018.991481 26019.621910
18 1329 0.018547 25724.390642 25724.390642 25696.809061
19 1337 0.019663 24312.010997 24312.010997 25317.468416
20 1733 0.020813 24506.304243 24506.304243 24894.970845
21 2117 0.022092 24750.519299 24750.519299 24397.833864
22 2353 0.023419 23474.522059 23474.522059 23860.701824
23 2881 0.024802 23626.112586 23626.112586 23286.246187
24 3485 0.026302 22443.769421 22443.769421 22654.326413
25 4137 0.027903 22150.238502 22150.238502 21977.310040
26 4934 0.029599 21163.601869 21163.601869 21264.173274
27 5689 0.031363 20323.847286 20323.847286 20532.199098
28 6974 0.033242 19868.497217 19868.497217 19768.376673
29 8101 0.035232 19340.133160 19340.133160 18982.094040
30 9894 0.037353 18553.202966 18553.202966 18172.288732
31 11742 0.039619 17247.472690 17247.472690 17341.992197
32 13906 0.042011 16508.796835 16508.796835 16506.083731
33 16446 0.044532 15525.101417 15525.101417 15670.449258
34 19622 0.047199 14730.242633 14730.242633 14836.541883
35 23414 0.050034 14103.811575 14103.811575 14004.752609
36 27735 0.053037 13198.619610 13198.619610 13183.151416
37 33207 0.056220 12403.928448 12403.928448 12374.734891
38 39742 0.059614 11628.732051 11628.732051 11579.168067
39 47123 0.063210 10738.618130 10738.618130 10804.986853
40 55895 0.067007 10082.310828 10082.310828 10058.072101
41 66760 0.071032 9362.411328 9362.411328 9337.758389
42 79415 0.075302 8603.947382 8603.947382 8645.932898
43 95068 0.079839 7999.344591 7999.344591 7983.308811
44 112152 0.084636 7362.084379 7362.084379 7354.774247
45 134824 0.089724 6734.373610 6734.373610 6758.827377
46 159792 0.095128 6196.871551 6196.871551 6195.637581
47 190845 0.100851 5673.593900 5673.593900 5666.827624
48 227381 0.106927 5181.557617 5181.557617 5171.020208
49 269601 0.113353 4704.954757 4704.954757 4709.488421
50 322450 0.120166 4273.906290 4273.906290 4280.199130
51 383822 0.127400 3883.360931 3883.360931 3881.681730
52 457222 0.135066 3512.666483 3512.666483 3513.598191
53 543855 0.143187 3171.377855 3171.377855 3174.722012
54 648747 0.151798 2860.834052 2860.834052 2863.345374
55 756052 0.160863 2579.392358 2579.392358 2579.875527
56 766244 0.170445 2323.524583 2323.524583 2321.226464
57 735654 0.180672 2085.971719 2085.971719 2083.613079
58 678384 0.191488 1866.227232 1866.227232 1867.858741
59 586472 0.202921 1673.595849 1673.595849 1672.448456
