bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 97.261844 76.088208 100.000000
1 93 0.007610 101.859821 73.934360 100.000000
2 104 0.008076 82.398827 57.344481 100.000000
3 80 0.008457 111.107421 74.050064 100.000000
4 205 0.009030 99.869545 66.341119 100.000000
5 100 0.009540 99.435991 61.496096 100.000000
6 209 0.010041 91.781405 53.726350 100.000000
7 240 0.010642 103.265491 56.437924 100.000000
8 241 0.011260 115.089292 57.705279 100.000000
9 340 0.011879 99.969186 46.552396 100.000000
10 393 0.012644 95.880602 41.353598 100.000000
11 428 0.013354 101.151635 38.521517 100.000000
12 501 0.014109 94.422323 32.330565 100.000000
13 585 0.014893 96.715419 29.223560 100.000000
14 724 0.015725 105.281288 28.075108 100.000000
15 893 0.016669 100.585389 22.746004 100.000000
16 981 0.017639 95.580420 18.225233 100.000000
17 1153 0.018627 102.324441 15.968516 100.000000
18 1385 0.019682 96.432452 12.019794 100.000000
19 1557 0.020783 99.518578 9.997810 100.000000
20 2017 0.021982 102.107192 7.611233 100.000000
21 2305 0.023275 99.086820 5.460131 100.000000
22 2761 0.024635 99.730622 3.945123 100.000000
23 3185 0.026058 100.329008 2.672477 100.000000
24 3809 0.027557 98.283625 1.742233 100.000000
25 4433 0.029141 99.278257 1.109418 100.000000
26 5322 0.030819 101.296251 0.676019 100.000000
27 6089 0.032574 100.848550 0.394733 100.000000
28 7270 0.034419 99.953943 0.210227 100.000000
29 8861 0.036411 102.528332 0.114555 100.000000
30 10350 0.038535 99.350625 0.056298 100.000000
31 11926 0.040738 99.736179 0.027577 100.000000
32 14314 0.043059 100.152898 0.013553 100.000000
33 17194 0.045556 100.781074 0.006451 100.000000
34 19970 0.048189 98.858461 0.002934 100.000000
35 23330 0.050935 100.167952 0.001335 100.000000
36 28019 0.053852 100.171319 0.000560 100.000000
37 32810 0.056943 99.984981 0.000221 100.000000
38 39011 0.060210 100.081461 0.000078 100.000000
39 46275 0.063681 99.369638 0.000024 100.000000
40 54283 0.067342 99.139319 0.000007 100.000000
41 64447 0.071210 99.883708 0.000002 100.000000
42 75927 0.075301 100.204932 0.000000 100.000000
43 89732 0.079622 99.579162 0.000000 100.000000
44 106183 0.084193 99.984116 0.000000 100.000000
45 125668 0.089033 100.245191 0.000000 100.000000
46 148604 0.094155 99.998396 0.000000 100.000000
47 175353 0.099567 99.898156 0.000000 100.000000
48 207425 0.105288 99.719536 0.000000 100.000000
49 244857 0.111334 100.123437 0.000000 100.000000
50 289677 0.117728 100.014905 0.000000 100.000000
51 342617 0.124493 100.105843 0.000000 100.000000
52 405414 0.131652 100.232610 0.000000 100.000000
53 478986 0.139223 99.950513 0.000000 100.000000
54 566031 0.147224 99.773525 0.000000 100.000000
55 668383 0.155679 99.958232 0.000000 100.000000
56 738901 0.164493 99.930705 0.000000 100.000000
57 725334 0.173923 99.873927 0.000000 100.000000
58 690734 0.183891 99.834605 0.000000 100.000000
59 629822 0.194412 100.005405 0.000000 100.000000
