bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 89 0.006366 22824.757135 22824.757135 22312.865547
1 64 0.006811 21539.939204 21539.939204 23006.661628
2 84 0.007306 20605.718272 20605.718272 23685.745261
3 69 0.007672 23649.285968 23649.285968 24127.793274
4 116 0.008103 26670.642794 26670.642794 24589.871330
5 145 0.008677 24848.317403 24848.317403 25114.265768
6 152 0.009179 21877.371888 21877.371888 25496.094510
7 164 0.009731 23137.507091 23137.507091 25841.709589
8 221 0.010292 25364.851179 25364.851179 26122.860958
9 240 0.010906 24814.464073 24814.464073 26357.806960
10 385 0.011641 25339.643702 25339.643702 26552.908534
11 337 0.012403 26477.036694 26477.036694 26669.362211
12 416 0.013082 27142.417739 27142.417739 26710.727044
13 477 0.013835 26694.874000 26694.874000 26697.797966
14 573 0.014610 27731.695102 27731.695102 26629.676966
15 812 0.015539 26488.726077 26488.726077 26486.661566
16 877 0.016537 26815.891759 26815.891759 26272.093615
17 933 0.017491 25562.039789 25562.039789 26019.621910
18 1329 0.018547 25458.561493 25458.561493 25696.809061
19 1337 0.019663 26116.293039 26116.293039 25317.468416
20 1733 0.020813 24694.644283 24694.644283 24894.970845
21 2117 0.022092 24004.546073 24004.546073 24397.833864
22 2353 0.023419 24078.008137 24078.008137 23860.701824
23 2881 0.024802 22850.292096 22850.292096 23286.246187
24 3485 0.026302 22636.693975 22636.693975 22654.326413
25 4137 0.027903 22000.011822 22000.011822 21977.310040
26 4934 0.029599 21050.874315 21050.874315 21264.173274
27 5689 0.031363 20900.637057 20900.637057 20532.199098
28 6974 0.033242 20229.997320 20229.997320 19768.376673
29 8101 0.035232 18486.214455 18486.214455 18982.094040
30 9894 0.037353 18031.842086 18031.842086 18172.288732
31 11742 0.039619 17359.613938 17359.613938 17341.992197
32 13906 0.042011 16278.500075 16278.500075 16506.083731
33 16446 0.044532 15796.682921 15796.682921 15670.449258
34 19622 0.047199 14739.570529 14739.570529 14836.541883
35 23414 0.050034 14018.663621 14018.663621 14004.752609
36 27735 0.053037 13127.900245 13127.900245 13183.151416
37 33207 0.056220 12367.266224 12367.266224 12374.734891
38 39742 0.059614 11490.551182 11490.551182 11579.168067
39 47123 0.063210 10825.222945 10825.222945 10804.986853
40 55895 0.067007 10132.294163 10132.294163 10058.072101
41 66760 0.071032 9268.763942 9268.763942 9337.758389
42 79415 0.075302 8572.435221 8572.435221 8645.932898
43 95068 0.079839 7995.263255 7995.263255 7983.308811
44 112152 0.084636 7352.207989 7352.207989 7354.774247
45 134824 0.089724 6786.037863 6786.037863 6758.827377
46 159792 0.095128 6208.188459 6208.188459 6195.637581
47 190845 0.100851 5670.280933 5670.280933 5666.827624
48 227381 0.106927 5179.797245 5179.797245 5171.020208
49 269601 0.113353 4718.133614 4718.133614 4709.488421
50 322450 0.120166 4274.916638 4274.916638 4280.199130
51 383822 0.127400 3890.483267 3890.483267 3881.681730
52 457222 0.135066 3515.192795 3515.192795 3513.598191
53 543855 0.143187 3182.345869 3182.345869 3174.722012
54 648747 0.151798 2870.992295 2870.992295 2863.345374
55 756052 0.160863 2579.483493 2579.483493 2579.875527
56 766244 0.170445 2322.066586 2322.066586 2321.226464
57 735654 0.180672 2079.658608 2079.658608 2083.613079
58 678384 0.191488 1866.995424 1866.995424 1867.858741
59 586472 0.202921 1675.116956 1675.116956 1672.448456
