bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 84.740227 66.097837 100.000000
1 93 0.007610 102.719095 78.507797 100.000000
2 104 0.008076 102.593834 72.810955 100.000000
3 80 0.008457 94.757513 65.364642 100.000000
4 205 0.009030 102.476718 68.027380 100.000000
5 100 0.009540 105.931120 63.817617 100.000000
6 209 0.010041 88.863399 52.640361 100.000000
7 240 0.010642 107.232338 58.972715 100.000000
8 241 0.011260 97.770743 50.948911 100.000000
9 340 0.011879 103.768992 49.643612 100.000000
10 393 0.012644 100.763987 44.265340 100.000000
11 428 0.013354 101.264764 39.520914 100.000000
12 501 0.014109 100.855630 34.924370 100.000000
13 585 0.014893 105.237430 31.489698 100.000000
14 724 0.015725 98.688256 26.004068 100.000000
15 893 0.016669 99.749641 22.663572 100.000000
16 981 0.017639 104.814917 19.867702 100.000000
17 1153 0.018627 99.000811 15.311210 100.000000
18 1385 0.019682 100.685467 12.681746 100.000000
19 1557 0.020783 103.443253 10.303273 100.000000
20 2017 0.021982 101.917595 7.749245 100.000000
21 2305 0.023275 97.896989 5.414540 100.000000
22 2761 0.024635 100.824188 3.979389 100.000000
23 3185 0.026058 100.629473 2.723437 100.000000
24 3809 0.027557 101.065970 1.794911 100.000000
25 4433 0.029141 100.725700 1.145039 100.000000
26 5322 0.030819 101.181361 0.681652 100.000000
27 6089 0.032574 100.832272 0.396193 100.000000
28 7270 0.034419 98.330149 0.216173 100.000000
29 8861 0.036411 99.694640 0.113102 100.000000
30 10350 0.038535 98.358344 0.056254 100.000000
31 11926 0.040738 99.447419 0.028626 100.000000
32 14314 0.043059 99.224687 0.013614 100.000000
33 17194 0.045556 98.439881 0.006527 100.000000
34 19970 0.048189 100.616429 0.003025 100.000000
35 23330 0.050935 99.994499 0.001345 100.000000
36 28019 0.053852 99.904200 0.000571 100.000000
37 32810 0.056943 99.763469 0.000222 100.000000
38 39011 0.060210 99.821939 0.000078 100.000000
39 46275 0.063681 100.346465 0.000024 100.000000
40 54283 0.067342 99.622465 0.000007 100.000000
41 64447 0.071210 100.641717 0.000002 100.000000
42 75927 0.075301 99.902632 0.000000 100.000000
43 89732 0.079622 99.860737 0.000000 100.000000
44 106183 0.084193 99.926273 0.000000 100.000000
45 125668 0.089033 99.950382 0.000000 100.000000
46 148604 0.094155 100.020401 0.000000 100.000000
47 175353 0.099567 99.859614 0.000000 100.000000
48 207425 0.105288 99.918909 0.000000 100.000000
49 244857 0.111334 100.096915 0.000000 100.000000
50 289677 0.117728 99.682271 0.000000 100.000000
51 342617 0.124493 100.025856 0.000000 100.000000
52 405414 0.131652 99.748419 0.000000 100.000000
53 478986 0.139223 100.016071 0.000000 100.000000
54 566031 0.147224 99.775095 0.000000 100.000000
55 668383 0.155679 99.901022 0.000000 100.000000
56 738901 0.164493 100.069666 0.000000 100.000000
57 725334 0.173923 100.040669 0.000000 100.000000
58 690734 0.183891 99.978501 0.000000 100.000000
59 629822 0.194412 99.871510 0.000000 100.000000
