bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 90.349021 71.164598 100.000000
1 93 0.007610 105.424550 79.430494 100.000000
2 104 0.008076 98.093456 68.348643 100.000000
3 80 0.008457 100.507046 69.636893 100.000000
4 205 0.009030 102.236274 67.710937 100.000000
5 100 0.009540 95.747016 60.155043 100.000000
6 209 0.010041 105.224254 62.437158 100.000000
7 240 0.010642 100.213827 54.951200 100.000000
8 241 0.011260 101.441886 50.262977 100.000000
9 340 0.011879 105.353618 49.967200 100.000000
10 393 0.012644 95.215516 41.467133 100.000000
11 428 0.013354 104.430679 40.030063 100.000000
12 501 0.014109 102.023985 35.648332 100.000000
13 585 0.014893 100.939602 30.758599 100.000000
14 724 0.015725 102.019081 26.827098 100.000000
15 893 0.016669 103.768981 23.428189 100.000000
16 981 0.017639 102.058113 19.345128 100.000000
17 1153 0.018627 99.024941 15.496016 100.000000
18 1385 0.019682 98.372557 12.338561 100.000000
19 1557 0.020783 102.275893 10.111675 100.000000
20 2017 0.021982 101.916988 7.677080 100.000000
21 2305 0.023275 95.929004 5.315764 100.000000
22 2761 0.024635 104.610485 4.095066 100.000000
23 3185 0.026058 100.967882 2.724895 100.000000
24 3809 0.027557 101.082232 1.800708 100.000000
25 4433 0.029141 100.769373 1.141282 100.000000
26 5322 0.030819 101.915799 0.705255 100.000000
27 6089 0.032574 101.562983 0.394666 100.000000
28 7270 0.034419 99.942450 0.215082 100.000000
29 8861 0.036411 100.142685 0.113126 100.000000
30 10350 0.038535 102.209818 0.056934 100.000000
31 11926 0.040738 99.595668 0.028357 100.000000
32 14314 0.043059 98.792729 0.013699 100.000000
33 17194 0.045556 101.992322 0.006573 100.000000
34 19970 0.048189 100.156620 0.003058 100.000000
35 23330 0.050935 101.728291 0.001361 100.000000
36 28019 0.053852 99.641166 0.000578 100.000000
37 32810 0.056943 98.961857 0.000223 100.000000
38 39011 0.060210 100.793292 0.000079 100.000000
39 46275 0.063681 100.144811 0.000025 100.000000
40 54283 0.067342 100.026157 0.000007 100.000000
41 64447 0.071210 99.403113 0.000002 100.000000
42 75927 0.075301 99.514052 0.000000 100.000000
43 89732 0.079622 99.833499 0.000000 100.000000
44 106183 0.084193 100.107565 0.000000 100.000000
45 125668 0.089033 100.301167 0.000000 100.000000
46 148604 0.094155 99.674658 0.000000 100.000000
47 175353 0.099567 100.081662 0.000000 100.000000
48 207425 0.105288 100.272509 0.000000 100.000000
49 244857 0.111334 100.265660 0.000000 100.000000
50 289677 0.117728 99.955088 0.000000 100.000000
51 342617 0.124493 99.988305 0.000000 100.000000
52 405414 0.131652 100.301210 0.000000 100.000000
53 478986 0.139223 100.052919 0.000000 100.000000
54 566031 0.147224 99.997713 0.000000 100.000000
55 668383 0.155679 99.981062 0.000000 100.000000
56 738901 0.164493 100.082223 0.000000 100.000000
57 725334 0.173923 100.066758 0.000000 100.000000
58 690734 0.183891 100.166916 0.000000 100.000000
59 629822 0.194412 100.066381 0.000000 100.000000
