bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 89 0.006366 21043.027277 21043.027277 22312.865547
1 64 0.006811 20220.395632 20220.395632 23006.661628
2 84 0.007306 23257.975995 23257.975995 23685.745261
3 69 0.007672 24314.822762 24314.822762 24127.793274
4 116 0.008103 24192.337949 24192.337949 24589.871330
5 145 0.008677 23537.489474 23537.489474 25114.265768
6 152 0.009179 25812.234362 25812.234362 25496.094510
7 164 0.009731 30555.832589 30555.832589 25841.709589
8 221 0.010292 25629.610739 25629.610739 26122.860958
9 240 0.010906 24492.248837 24492.248837 26357.806960
10 385 0.011641 24224.131046 24224.131046 26552.908534
11 337 0.012403 24956.189549 24956.189549 26669.362211
12 416 0.013082 28274.132669 28274.132669 26710.727044
13 477 0.013835 27340.975933 27340.975933 26697.797966
14 573 0.014610 27604.107455 27604.107455 26629.676966
15 812 0.015539 26576.900299 26576.900299 26486.661566
16 877 0.016537 27941.418517 27941.418517 26272.093615
17 933 0.017491 26702.256015 26702.256015 26019.621910
18 1329 0.018547 24434.092601 24434.092601 25696.809061
19 1337 0.019663 25009.291284 25009.291284 25317.468416
20 1733 0.020813 26233.182051 26233.182051 24894.970845
21 2117 0.022092 25231.642997 25231.642997 24397.833864
22 2353 0.023419 23146.621267 23146.621267 23860.701824
23 2881 0.024802 24008.006313 24008.006313 23286.246187
24 3485 0.026302 22786.493243 22786.493243 22654.326413
25 4137 0.027903 22061.383952 22061.383952 21977.310040
26 4934 0.029599 21438.010611 21438.010611 21264.173274
27 5689 0.031363 20929.618548 20929.618548 20532.199098
28 6974 0.033242 19781.608737 19781.608737 19768.376673
29 8101 0.035232 18790.073209 18790.073209 18982.094040
30 9894 0.037353 17949.096683 17949.096683 18172.288732
31 11742 0.039619 17318.140036 17318.140036 17341.992197
32 13906 0.042011 16528.539945 16528.539945 16506.083731
33 16446 0.044532 15706.853316 15706.853316 15670.449258
34 19622 0.047199 14870.497011 14870.497011 14836.541883
35 23414 0.050034 13966.145371 13966.145371 14004.752609
36 27735 0.053037 13187.196667 13187.196667 13183.151416
37 33207 0.056220 12443.299747 12443.299747 12374.734891
38 39742 0.059614 11636.735609 11636.735609 11579.168067
39 47123 0.063210 10786.762164 10786.762164 10804.986853
40 55895 0.067007 10004.514189 10004.514189 10058.072101
41 66760 0.071032 9297.861117 9297.861117 9337.758389
42 79415 0.075302 8642.033549 8642.033549 8645.932898
43 95068 0.079839 8014.651766 8014.651766 7983.308811
44 112152 0.084636 7362.857715 7362.857715 7354.774247
45 134824 0.089724 6767.866754 6767.866754 6758.827377
46 159792 0.095128 6192.618929 6192.618929 6195.637581
47 190845 0.100851 5647.644737 5647.644737 5666.827624
48 227381 0.106927 5177.117621 5177.117621 5171.020208
49 269601 0.113353 4712.651415 4712.651415 4709.488421
50 322450 0.120166 4273.665068 4273.665068 4280.199130
51 383822 0.127400 3883.947039 3883.947039 3881.681730
52 457222 0.135066 3511.042833 3511.042833 3513.598191
53 543855 0.143187 3179.695648 3179.695648 3174.722012
54 648747 0.151798 2865.725969 2865.725969 2863.345374
55 756052 0.160863 2582.896158 2582.896158 2579.875527
56 766244 0.170445 2323.272076 2323.272076 2321.226464
57 735654 0.180672 2083.251245 2083.251245 2083.613079
58 678384 0.191488 1868.672186 1868.672186 1867.858741
59 586472 0.202921 1672.423767 1672.423767 1672.448456
