bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 89 0.006366 21175.208531 21175.208531 22312.865547
1 64 0.006811 23943.373034 23943.373034 23006.661628
2 84 0.007306 19556.614802 19556.614802 23685.745261
3 69 0.007672 19931.227710 19931.227710 24127.793274
4 116 0.008103 22160.756377 22160.756377 24589.871330
5 145 0.008677 28191.773544 28191.773544 25114.265768
6 152 0.009179 26155.220954 26155.220954 25496.094510
7 164 0.009731 25236.997244 25236.997244 25841.709589
8 221 0.010292 26563.082931 26563.082931 26122.860958
9 240 0.010906 24301.022132 24301.022132 26357.806960
10 385 0.011641 28770.679352 28770.679352 26552.908534
11 337 0.012403 26915.849259 26915.849259 26669.362211
12 416 0.013082 26028.958759 26028.958759 26710.727044
13 477 0.013835 25432.124185 25432.124185 26697.797966
14 573 0.014610 27514.584240 27514.584240 26629.676966
15 812 0.015539 26641.468665 26641.468665 26486.661566
16 877 0.016537 25433.088902 25433.088902 26272.093615
17 933 0.017491 26785.088998 26785.088998 26019.621910
18 1329 0.018547 25057.244320 25057.244320 25696.809061
19 1337 0.019663 25417.506977 25417.506977 25317.468416
20 1733 0.020813 24333.617935 24333.617935 24894.970845
21 2117 0.022092 24932.042549 24932.042549 24397.833864
22 2353 0.023419 23689.686263 23689.686263 23860.701824
23 2881 0.024802 23119.088699 23119.088699 23286.246187
24 3485 0.026302 22702.543896 22702.543896 22654.326413
25 4137 0.027903 21939.506023 21939.506023 21977.310040
26 4934 0.029599 21791.675688 21791.675688 21264.173274
27 5689 0.031363 20326.194362 20326.194362 20532.199098
28 6974 0.033242 19187.576166 19187.576166 19768.376673
29 8101 0.035232 19012.499558 19012.499558 18982.094040
30 9894 0.037353 18407.564251 18407.564251 18172.288732
31 11742 0.039619 17301.452265 17301.452265 17341.992197
32 13906 0.042011 16556.070298 16556.070298 16506.083731
33 16446 0.044532 15626.438943 15626.438943 15670.449258
34 19622 0.047199 14967.837713 14967.837713 14836.541883
35 23414 0.050034 14013.407304 14013.407304 14004.752609
36 27735 0.053037 13205.596113 13205.596113 13183.151416
37 33207 0.056220 12237.932101 12237.932101 12374.734891
38 39742 0.059614 11490.394275 11490.394275 11579.168067
39 47123 0.063210 10790.048053 10790.048053 10804.986853
40 55895 0.067007 10017.989447 10017.989447 10058.072101
41 66760 0.071032 9342.295153 9342.295153 9337.758389
42 79415 0.075302 8659.756957 8659.756957 8645.932898
43 95068 0.079839 7981.510032 7981.510032 7983.308811
44 112152 0.084636 7353.588615 7353.588615 7354.774247
45 134824 0.089724 6753.835142 6753.835142 6758.827377
46 159792 0.095128 6193.995728 6193.995728 6195.637581
47 190845 0.100851 5672.712120 5672.712120 5666.827624
48 227381 0.106927 5152.797916 5152.797916 5171.020208
49 269601 0.113353 4723.099524 4723.099524 4709.488421
50 322450 0.120166 4284.397469 4284.397469 4280.199130
51 383822 0.127400 3890.646770 3890.646770 3881.681730
52 457222 0.135066 3515.325186 3515.325186 3513.598191
53 543855 0.143187 3177.337114 3177.337114 3174.722012
54 648747 0.151798 2873.082461 2873.082461 2863.345374
55 756052 0.160863 2584.373063 2584.373063 2579.875527
56 766244 0.170445 2323.705959 2323.705959 2321.226464
57 735654 0.180672 2088.761158 2088.761158 2083.613079
58 678384 0.191488 1870.817236 1870.817236 1867.858741
59 586472 0.202921 1674.184204 1674.184204 1672.448456
