bin n k/h/Mpc lin_power/(Mpc/h)^3 2_power reference
0 124 0.007026 99.122754 74.479023 100.000000
1 93 0.007610 113.444416 83.774015 100.000000
2 104 0.008076 110.574331 76.979368 100.000000
3 80 0.008457 97.189907 67.493449 100.000000
4 205 0.009030 103.405575 67.974978 100.000000
5 100 0.009540 112.354552 69.448560 100.000000
6 209 0.010041 96.590952 56.627591 100.000000
7 240 0.010642 98.368808 52.273608 100.000000
8 241 0.011260 96.459434 49.729468 100.000000
9 340 0.011879 106.267271 49.987496 100.000000
10 393 0.012644 96.619813 41.290846 100.000000
11 428 0.013354 95.721417 37.009547 100.000000
12 501 0.014109 100.761339 34.908914 100.000000
13 585 0.014893 95.950120 29.823201 100.000000
14 724 0.015725 103.295033 27.496798 100.000000
15 893 0.016669 101.542045 22.864189 100.000000
16 981 0.017639 95.322325 18.228215 100.000000
17 1153 0.018627 92.904467 14.698942 100.000000
18 1385 0.019682 102.482302 12.738857 100.000000
19 1557 0.020783 100.011054 9.831893 100.000000
20 2017 0.021982 100.707940 7.599531 100.000000
21 2305 0.023275 98.553273 5.432452 100.000000
22 2761 0.024635 101.378580 4.022556 100.000000
23 3185 0.026058 100.593547 2.725561 100.000000
24 3809 0.027557 101.534923 1.837048 100.000000
25 4433 0.029141 100.143651 1.108770 100.000000
26 5322 0.030819 100.756471 0.687340 100.000000
27 6089 0.032574 99.759152 0.386354 100.000000
28 7270 0.034419 100.632474 0.216980 100.000000
29 8861 0.036411 99.587499 0.111866 100.000000
30 10350 0.038535 99.551399 0.056468 100.000000
31 11926 0.040738 100.134578 0.027853 100.000000
32 14314 0.043059 100.617436 0.013490 100.000000
33 17194 0.045556 98.281340 0.006375 100.000000
34 19970 0.048189 101.522781 0.002985 100.000000
35 23330 0.050935 100.206163 0.001358 100.000000
36 28019 0.053852 100.832658 0.000569 100.000000
37 32810 0.056943 99.127971 0.000221 100.000000
38 39011 0.060210 100.180808 0.000077 100.000000
39 46275 0.063681 99.235378 0.000024 100.000000
40 54283 0.067342 99.625803 0.000007 100.000000
41 64447 0.071210 100.540204 0.000002 100.000000
42 75927 0.075301 100.202307 0.000000 100.000000
43 89732 0.079622 100.230171 0.000000 100.000000
44 106183 0.084193 99.900046 0.000000 100.000000
45 125668 0.089033 99.735647 0.000000 100.000000
46 148604 0.094155 99.698185 0.000000 100.000000
47 175353 0.099567 99.804995 0.000000 100.000000
48 207425 0.105288 100.067302 0.000000 100.000000
49 244857 0.111334 99.930912 0.000000 100.000000
50 289677 0.117728 100.112809 0.000000 100.000000
51 342617 0.124493 100.497688 0.000000 100.000000
52 405414 0.131652 100.016175 0.000000 100.000000
53 478986 0.139223 100.239629 0.000000 100.000000
54 566031 0.147224 100.034304 0.000000 100.000000
55 668383 0.155679 99.915197 0.000000 100.000000
56 738901 0.164493 99.970761 0.000000 100.000000
57 725334 0.173923 99.873167 0.000000 100.000000
58 690734 0.183891 99.802658 0.000000 100.000000
59 629822 0.194412 100.062468 0.000000 100.000000
