0.500000 3523.651057 3523.651057
1.000000 3417.890135 3417.890134
1.500000 3263.430153 3263.430153
2.000000 3056.200823 3056.200823
2.500000 2823.328338 2823.328338
3.000000 2573.034437 2573.034437
3.500000 2320.565367 2320.565367
4.000000 2073.997592 2073.997592
4.500000 1845.157225 1845.157225
5.000000 1634.293415 1634.293415
5.500000 1447.140614 1447.140614
6.000000 1280.115173 1280.115173
6.500000 1132.097474 1132.097474
7.000000 1007.122784 1007.122784
7.500000 895.754406 895.754406
8.000000 800.535383 800.535383
8.500000 717.491755 717.491755
9.000000 646.597729 646.597729
9.500000 583.211009 583.211009
10.000000 527.101648 527.101648
