bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 30691.543562 22999.876100
1 17 0.007540 33760.157545 23478.005644
2 16 0.007948 23123.487260 23864.972622
3 16 0.008428 24065.047220 24246.105073
4 16 0.009062 32593.480667 24636.519374
5 24 0.009404 24458.090051 24799.318857
6 5 0.010053 5671.934661 25025.435661
7 48 0.010488 18555.333313 25121.814900
8 52 0.011302 24733.280989 25198.482380
9 12 0.011788 32675.358025 25187.089548
10 73 0.012661 19656.996044 25074.855481
11 56 0.013399 15684.555161 24900.907399
12 56 0.014118 19559.268316 24672.377066
13 85 0.014919 25556.409522 24360.094390
14 104 0.015855 25144.132683 23931.266839
15 112 0.016716 22248.165659 23486.366599
16 105 0.017749 25320.308998 22902.637758
17 152 0.018521 21651.071966 22437.905400
18 145 0.019564 20960.441559 21779.289565
19 236 0.020658 20940.299474 21061.683202
20 273 0.022004 20465.960199 20152.100791
21 332 0.023389 18609.227608 19200.137970
22 337 0.024805 18256.599601 18221.624140
23 368 0.026076 17416.338869 17347.152102
24 517 0.027581 15535.198992 16325.213983
25 540 0.029145 15267.708341 15285.150133
26 685 0.030811 14455.754749 14210.832626
27 757 0.032566 13366.084856 13121.032824
28 989 0.034451 12342.835747 12004.973735
29 1064 0.036439 11191.823365 10893.222564
30 1277 0.038477 10211.561275 9825.883298
31 1601 0.040717 8872.130961 8738.509393
32 1801 0.043096 7966.837614 7681.894897
33 2157 0.045569 7021.971600 6687.502123
34 2477 0.048160 5970.121412 5754.797756
35 2969 0.050893 5224.800339 4885.546846
36 3462 0.053791 4267.644640 4082.618512
37 4173 0.056863 3515.017888 3352.970054
38 5045 0.060185 2890.931447 2689.805392
39 5794 0.063688 2391.233931 2114.153156
40 6881 0.067339 1904.440651 1629.904528
41 8098 0.071214 1447.113388 1224.260858
42 9585 0.075295 1094.166929 895.503465
43 11286 0.079619 819.432307 634.846006
44 13358 0.084185 585.876266 435.266338
45 15758 0.089016 421.097855 287.362194
46 18910 0.094158 290.105284 181.414056
47 21890 0.099576 191.891599 109.502631
48 25991 0.105268 128.577153 62.989837
49 31106 0.111339 82.090966 34.048648
50 36295 0.117753 51.114548 17.268701
51 43006 0.124502 30.956718 8.186242
52 50771 0.131649 18.476143 3.581522
53 60191 0.139212 10.445094 1.433457
54 71044 0.147218 5.752320 0.519367
55 84279 0.155692 3.108320 0.168385
56 92415 0.164505 1.659476 0.049294
57 91386 0.173911 0.789937 0.012460
58 87204 0.183897 0.345559 0.002689
59 79268 0.194425 0.140531 0.000492
