bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 13568.750602 22999.876100
1 17 0.007540 35222.436823 23478.005644
2 16 0.007948 23223.482720 23864.972622
3 16 0.008428 25391.639655 24246.105073
4 16 0.009062 16000.505885 24636.519374
5 24 0.009404 21267.820624 24799.318857
6 5 0.010053 15392.534107 25025.435661
7 48 0.010488 26631.861577 25121.814900
8 52 0.011302 27596.145325 25198.482380
9 12 0.011788 23458.188450 25187.089548
10 73 0.012661 25574.883783 25074.855481
11 56 0.013399 23098.575474 24900.907399
12 56 0.014118 22959.058519 24672.377066
13 85 0.014919 27377.048572 24360.094390
14 104 0.015855 21939.787043 23931.266839
15 112 0.016716 24023.677140 23486.366599
16 105 0.017749 21992.032530 22902.637758
17 152 0.018521 23054.829756 22437.905400
18 145 0.019564 20900.082503 21779.289565
19 236 0.020658 20676.261964 21061.683202
20 273 0.022004 19011.768669 20152.100791
21 332 0.023389 18555.640392 19200.137970
22 337 0.024805 18540.327290 18221.624140
23 368 0.026076 18202.238201 17347.152102
24 517 0.027581 15625.393338 16325.213983
25 540 0.029145 14742.020677 15285.150133
26 685 0.030811 14369.164433 14210.832626
27 757 0.032566 13489.098303 13121.032824
28 989 0.034451 13418.410706 12004.973735
29 1064 0.036439 10882.596463 10893.222564
30 1277 0.038477 10051.693703 9825.883298
31 1601 0.040717 9145.383312 8738.509393
32 1801 0.043096 7890.274280 7681.894897
33 2157 0.045569 6568.659913 6687.502123
34 2477 0.048160 5890.397147 5754.797756
35 2969 0.050893 5199.287258 4885.546846
36 3462 0.053791 4290.951016 4082.618512
37 4173 0.056863 3619.712225 3352.970054
38 5045 0.060185 2938.760377 2689.805392
39 5794 0.063688 2335.830859 2114.153156
40 6881 0.067339 1894.726213 1629.904528
41 8098 0.071214 1445.290855 1224.260858
42 9585 0.075295 1093.610944 895.503465
43 11286 0.079619 814.891941 634.846006
44 13358 0.084185 586.132142 435.266338
45 15758 0.089016 418.512502 287.362194
46 18910 0.094158 291.043108 181.414056
47 21890 0.099576 195.343266 109.502631
48 25991 0.105268 127.739975 62.989837
49 31106 0.111339 81.763696 34.048648
50 36295 0.117753 51.480414 17.268701
51 43006 0.124502 31.317004 8.186242
52 50771 0.131649 18.290009 3.581522
53 60191 0.139212 10.438646 1.433457
54 71044 0.147218 5.772991 0.519367
55 84279 0.155692 3.136568 0.168385
56 92415 0.164505 1.674277 0.049294
57 91386 0.173911 0.789165 0.012460
58 87204 0.183897 0.345876 0.002689
59 79268 0.194425 0.139922 0.000492
