bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 41072.218469 22999.876100
1 17 0.007540 33325.767641 23478.005644
2 16 0.007948 22570.724979 23864.972622
3 16 0.008428 27065.965472 24246.105073
4 16 0.009062 32553.742888 24636.519374
5 24 0.009404 28808.015848 24799.318857
6 5 0.010053 12553.726107 25025.435661
7 48 0.010488 28035.056487 25121.814900
8 52 0.011302 26999.322494 25198.482380
9 12 0.011788 23598.291709 25187.089548
10 73 0.012661 19543.688647 25074.855481
11 56 0.013399 25738.746535 24900.907399
12 56 0.014118 24057.943190 24672.377066
13 85 0.014919 23047.642628 24360.094390
14 104 0.015855 26301.368422 23931.266839
15 112 0.016716 25424.239350 23486.366599
16 105 0.017749 22299.862954 22902.637758
17 152 0.018521 22981.387061 22437.905400
18 145 0.019564 22077.554257 21779.289565
19 236 0.020658 21706.191887 21061.683202
20 273 0.022004 19752.964800 20152.100791
21 332 0.023389 18463.428688 19200.137970
22 337 0.024805 18890.280278 18221.624140
23 368 0.026076 16068.573205 17347.152102
24 517 0.027581 17170.610414 16325.213983
25 540 0.029145 15341.145253 15285.150133
26 685 0.030811 13777.169992 14210.832626
27 757 0.032566 12983.603951 13121.032824
28 989 0.034451 11723.422458 12004.973735
29 1064 0.036439 10618.629597 10893.222564
30 1277 0.038477 10187.662341 9825.883298
31 1601 0.040717 8877.104960 8738.509393
32 1801 0.043096 7921.481250 7681.894897
33 2157 0.045569 6774.059616 6687.502123
34 2477 0.048160 5979.163554 5754.797756
35 2969 0.050893 5003.296929 4885.546846
36 3462 0.053791 4384.947568 4082.618512
37 4173 0.056863 3589.947277 3352.970054
38 5045 0.060185 3000.844609 2689.805392
39 5794 0.063688 2376.696734 2114.153156
40 6881 0.067339 1904.262594 1629.904528
41 8098 0.071214 1435.140818 1224.260858
42 9585 0.075295 1098.414240 895.503465
43 11286 0.079619 824.605853 634.846006
44 13358 0.084185 589.777261 435.266338
45 15758 0.089016 411.714416 287.362194
46 18910 0.094158 285.087026 181.414056
47 21890 0.099576 192.055026 109.502631
48 25991 0.105268 127.537533 62.989837
49 31106 0.111339 82.180678 34.048648
50 36295 0.117753 50.920086 17.268701
51 43006 0.124502 30.692672 8.186242
52 50771 0.131649 18.232212 3.581522
53 60191 0.139212 10.474717 1.433457
54 71044 0.147218 5.788427 0.519367
55 84279 0.155692 3.115950 0.168385
56 92415 0.164505 1.656882 0.049294
57 91386 0.173911 0.780660 0.012460
58 87204 0.183897 0.344366 0.002689
59 79268 0.194425 0.140083 0.000492
