bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 31296.106587 22999.876100
1 17 0.007540 33388.733866 23478.005644
2 16 0.007948 24367.763125 23864.972622
3 16 0.008428 27972.188284 24246.105073
4 16 0.009062 19224.707795 24636.519374
5 24 0.009404 18233.957172 24799.318857
6 5 0.010053 12524.936622 25025.435661
7 48 0.010488 27389.373474 25121.814900
8 52 0.011302 25795.327879 25198.482380
9 12 0.011788 32977.191470 25187.089548
10 73 0.012661 31025.294943 25074.855481
11 56 0.013399 29214.019070 24900.907399
12 56 0.014118 24741.538834 24672.377066
13 85 0.014919 24085.223373 24360.094390
14 104 0.015855 27999.560134 23931.266839
15 112 0.016716 28892.686996 23486.366599
16 105 0.017749 28270.391856 22902.637758
17 152 0.018521 22368.741171 22437.905400
18 145 0.019564 23390.467228 21779.289565
19 236 0.020658 20888.485252 21061.683202
20 273 0.022004 18685.380933 20152.100791
21 332 0.023389 18415.003953 19200.137970
22 337 0.024805 19105.586360 18221.624140
23 368 0.026076 18519.991503 17347.152102
24 517 0.027581 16179.014828 16325.213983
25 540 0.029145 15909.028600 15285.150133
26 685 0.030811 13545.326326 14210.832626
27 757 0.032566 12505.371096 13121.032824
28 989 0.034451 12546.027626 12004.973735
29 1064 0.036439 10387.806377 10893.222564
30 1277 0.038477 9710.678728 9825.883298
31 1601 0.040717 8893.897644 8738.509393
32 1801 0.043096 7905.762684 7681.894897
33 2157 0.045569 6671.108665 6687.502123
34 2477 0.048160 6115.986883 5754.797756
35 2969 0.050893 5117.692098 4885.546846
36 3462 0.053791 4378.244409 4082.618512
37 4173 0.056863 3656.511908 3352.970054
38 5045 0.060185 2883.095271 2689.805392
39 5794 0.063688 2441.216066 2114.153156
40 6881 0.067339 1880.506475 1629.904528
41 8098 0.071214 1439.331227 1224.260858
42 9585 0.075295 1105.297151 895.503465
43 11286 0.079619 821.011536 634.846006
44 13358 0.084185 584.806063 435.266338
45 15758 0.089016 414.138264 287.362194
46 18910 0.094158 288.655475 181.414056
47 21890 0.099576 194.412182 109.502631
48 25991 0.105268 128.168567 62.989837
49 31106 0.111339 82.550407 34.048648
50 36295 0.117753 51.255094 17.268701
51 43006 0.124502 30.960043 8.186242
52 50771 0.131649 18.403410 3.581522
53 60191 0.139212 10.508962 1.433457
54 71044 0.147218 5.762887 0.519367
55 84279 0.155692 3.112040 0.168385
56 92415 0.164505 1.649236 0.049294
57 91386 0.173911 0.787810 0.012460
58 87204 0.183897 0.342070 0.002689
59 79268 0.194425 0.140352 0.000492
