bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 17880.379161 22999.876100
1 17 0.007540 19554.608250 23478.005644
2 16 0.007948 19455.489728 23864.972622
3 16 0.008428 27376.787807 24246.105073
4 16 0.009062 26855.296002 24636.519374
5 24 0.009404 31914.461184 24799.318857
6 5 0.010053 26697.965292 25025.435661
7 48 0.010488 24212.763949 25121.814900
8 52 0.011302 22331.807458 25198.482380
9 12 0.011788 21678.364177 25187.089548
10 73 0.012661 24052.053628 25074.855481
11 56 0.013399 23070.943809 24900.907399
12 56 0.014118 29901.463229 24672.377066
13 85 0.014919 29710.729633 24360.094390
14 104 0.015855 23048.009204 23931.266839
15 112 0.016716 24828.281440 23486.366599
16 105 0.017749 24462.491549 22902.637758
17 152 0.018521 19748.233158 22437.905400
18 145 0.019564 20647.902315 21779.289565
19 236 0.020658 24152.485300 21061.683202
20 273 0.022004 20949.412369 20152.100791
21 332 0.023389 18508.591468 19200.137970
22 337 0.024805 18962.975155 18221.624140
23 368 0.026076 16613.439601 17347.152102
24 517 0.027581 17303.893833 16325.213983
25 540 0.029145 15471.019269 15285.150133
26 685 0.030811 14710.589822 14210.832626
27 757 0.032566 13304.278147 13121.032824
28 989 0.034451 12130.389192 12004.973735
29 1064 0.036439 11481.368126 10893.222564
30 1277 0.038477 9732.677718 9825.883298
31 1601 0.040717 8676.832943 8738.509393
32 1801 0.043096 7904.987690 7681.894897
33 2157 0.045569 6747.109646 6687.502123
34 2477 0.048160 6065.166809 5754.797756
35 2969 0.050893 5025.574775 4885.546846
36 3462 0.053791 4223.026431 4082.618512
37 4173 0.056863 3526.519966 3352.970054
38 5045 0.060185 2983.639207 2689.805392
39 5794 0.063688 2373.598323 2114.153156
40 6881 0.067339 1808.184461 1629.904528
41 8098 0.071214 1444.836159 1224.260858
42 9585 0.075295 1078.896198 895.503465
43 11286 0.079619 817.365416 634.846006
44 13358 0.084185 586.188023 435.266338
45 15758 0.089016 421.428498 287.362194
46 18910 0.094158 289.485417 181.414056
47 21890 0.099576 193.698149 109.502631
48 25991 0.105268 128.607890 62.989837
49 31106 0.111339 81.516855 34.048648
50 36295 0.117753 50.925351 17.268701
51 43006 0.124502 30.894529 8.186242
52 50771 0.131649 18.368954 3.581522
53 60191 0.139212 10.381178 1.433457
54 71044 0.147218 5.740469 0.519367
55 84279 0.155692 3.102979 0.168385
56 92415 0.164505 1.654304 0.049294
57 91386 0.173911 0.778646 0.012460
58 87204 0.183897 0.343667 0.002689
59 79268 0.194425 0.139538 0.000492
