bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 27300.430274 22999.876100
1 17 0.007540 17220.502822 23478.005644
2 16 0.007948 29328.166867 23864.972622
3 16 0.008428 30292.570253 24246.105073
4 16 0.009062 41688.085909 24636.519374
5 24 0.009404 31032.273165 24799.318857
6 5 0.010053 32722.460687 25025.435661
7 48 0.010488 22695.285665 25121.814900
8 52 0.011302 26918.400142 25198.482380
9 12 0.011788 44929.065098 25187.089548
10 73 0.012661 26720.546068 25074.855481
11 56 0.013399 28011.472203 24900.907399
12 56 0.014118 28288.901710 24672.377066
13 85 0.014919 20648.400996 24360.094390
14 104 0.015855 21850.931909 23931.266839
15 112 0.016716 21912.165375 23486.366599
16 105 0.017749 20820.817812 22902.637758
17 152 0.018521 23798.774424 22437.905400
18 145 0.019564 19963.985820 21779.289565
19 236 0.020658 20766.594820 21061.683202
20 273 0.022004 19540.427946 20152.100791
21 332 0.023389 21317.000241 19200.137970
22 337 0.024805 19339.605433 18221.624140
23 368 0.026076 16886.821523 17347.152102
24 517 0.027581 17078.983244 16325.213983
25 540 0.029145 14699.286284 15285.150133
26 685 0.030811 13352.296089 14210.832626
27 757 0.032566 14099.718269 13121.032824
28 989 0.034451 11733.446710 12004.973735
29 1064 0.036439 10770.745970 10893.222564
30 1277 0.038477 9701.956460 9825.883298
31 1601 0.040717 9348.205158 8738.509393
32 1801 0.043096 7888.736788 7681.894897
33 2157 0.045569 7118.283946 6687.502123
34 2477 0.048160 5833.059039 5754.797756
35 2969 0.050893 5103.462345 4885.546846
36 3462 0.053791 4266.266076 4082.618512
37 4173 0.056863 3685.571416 3352.970054
38 5045 0.060185 2894.118762 2689.805392
39 5794 0.063688 2360.878295 2114.153156
40 6881 0.067339 1853.448176 1629.904528
41 8098 0.071214 1435.059709 1224.260858
42 9585 0.075295 1085.994667 895.503465
43 11286 0.079619 814.996020 634.846006
44 13358 0.084185 585.731209 435.266338
45 15758 0.089016 422.389868 287.362194
46 18910 0.094158 289.688802 181.414056
47 21890 0.099576 195.139087 109.502631
48 25991 0.105268 129.426668 62.989837
49 31106 0.111339 82.263884 34.048648
50 36295 0.117753 50.967481 17.268701
51 43006 0.124502 31.053423 8.186242
52 50771 0.131649 18.281840 3.581522
53 60191 0.139212 10.511904 1.433457
54 71044 0.147218 5.798521 0.519367
55 84279 0.155692 3.111763 0.168385
56 92415 0.164505 1.662698 0.049294
57 91386 0.173911 0.783241 0.012460
58 87204 0.183897 0.345381 0.002689
59 79268 0.194425 0.140404 0.000492
