bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 19733.016412 22999.876100
1 17 0.007540 16315.214722 23478.005644
2 16 0.007948 22857.231689 23864.972622
3 16 0.008428 19361.449582 24246.105073
4 16 0.009062 20515.531495 24636.519374
5 24 0.009404 22088.590822 24799.318857
6 5 0.010053 38741.650983 25025.435661
7 48 0.010488 30590.588593 25121.814900
8 52 0.011302 19267.138441 25198.482380
9 12 0.011788 39044.114910 25187.089548
10 73 0.012661 25621.027483 25074.855481
11 56 0.013399 23440.672288 24900.907399
12 56 0.014118 22846.334807 24672.377066
13 85 0.014919 24371.578817 24360.094390
14 104 0.015855 23975.213862 23931.266839
15 112 0.016716 16674.192684 23486.366599
16 105 0.017749 24995.549867 22902.637758
17 152 0.018521 18127.854752 22437.905400
18 145 0.019564 24579.788516 21779.289565
19 236 0.020658 20422.264642 21061.683202
20 273 0.022004 22227.346260 20152.100791
21 332 0.023389 17801.528114 19200.137970
22 337 0.024805 21216.960148 18221.624140
23 368 0.026076 18169.070754 17347.152102
24 517 0.027581 17935.030393 16325.213983
25 540 0.029145 15269.116906 15285.150133
26 685 0.030811 14305.619429 14210.832626
27 757 0.032566 13596.821222 13121.032824
28 989 0.034451 11698.408332 12004.973735
29 1064 0.036439 11198.649970 10893.222564
30 1277 0.038477 10503.346018 9825.883298
31 1601 0.040717 8508.868373 8738.509393
32 1801 0.043096 7945.374807 7681.894897
33 2157 0.045569 6885.142754 6687.502123
34 2477 0.048160 5970.552647 5754.797756
35 2969 0.050893 5071.255578 4885.546846
36 3462 0.053791 4433.260235 4082.618512
37 4173 0.056863 3628.292634 3352.970054
38 5045 0.060185 2954.993183 2689.805392
39 5794 0.063688 2363.959085 2114.153156
40 6881 0.067339 1905.939019 1629.904528
41 8098 0.071214 1455.772090 1224.260858
42 9585 0.075295 1100.835775 895.503465
43 11286 0.079619 819.170630 634.846006
44 13358 0.084185 593.523214 435.266338
45 15758 0.089016 420.067175 287.362194
46 18910 0.094158 289.656116 181.414056
47 21890 0.099576 196.280215 109.502631
48 25991 0.105268 128.545181 62.989837
49 31106 0.111339 82.107080 34.048648
50 36295 0.117753 51.189359 17.268701
51 43006 0.124502 31.101146 8.186242
52 50771 0.131649 18.410383 3.581522
53 60191 0.139212 10.471463 1.433457
54 71044 0.147218 5.801426 0.519367
55 84279 0.155692 3.121803 0.168385
56 92415 0.164505 1.648373 0.049294
57 91386 0.173911 0.790535 0.012460
58 87204 0.183897 0.343199 0.002689
59 79268 0.194425 0.139094 0.000492
