bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 16944.825607 22999.876100
1 17 0.007540 22671.897597 23478.005644
2 16 0.007948 14740.594164 23864.972622
3 16 0.008428 23335.545412 24246.105073
4 16 0.009062 17124.532530 24636.519374
5 24 0.009404 16589.487359 24799.318857
6 5 0.010053 58471.632691 25025.435661
7 48 0.010488 22642.504168 25121.814900
8 52 0.011302 26860.333614 25198.482380
9 12 0.011788 16150.257981 25187.089548
10 73 0.012661 23497.215549 25074.855481
11 56 0.013399 29449.044825 24900.907399
12 56 0.014118 19634.839403 24672.377066
13 85 0.014919 25067.377618 24360.094390
14 104 0.015855 20758.676999 23931.266839
15 112 0.016716 25849.233837 23486.366599
16 105 0.017749 24777.943996 22902.637758
17 152 0.018521 21674.999249 22437.905400
18 145 0.019564 24468.377139 21779.289565
19 236 0.020658 20600.405129 21061.683202
20 273 0.022004 20774.044408 20152.100791
21 332 0.023389 21035.497752 19200.137970
22 337 0.024805 17940.384488 18221.624140
23 368 0.026076 18281.124283 17347.152102
24 517 0.027581 17672.663024 16325.213983
25 540 0.029145 15560.143270 15285.150133
26 685 0.030811 13944.395582 14210.832626
27 757 0.032566 13388.043525 13121.032824
28 989 0.034451 12698.303001 12004.973735
29 1064 0.036439 11144.668058 10893.222564
30 1277 0.038477 9396.247243 9825.883298
31 1601 0.040717 8961.976354 8738.509393
32 1801 0.043096 7874.752973 7681.894897
33 2157 0.045569 7164.392461 6687.502123
34 2477 0.048160 5913.938008 5754.797756
35 2969 0.050893 5376.782624 4885.546846
36 3462 0.053791 4370.870571 4082.618512
37 4173 0.056863 3717.418639 3352.970054
38 5045 0.060185 2921.298731 2689.805392
39 5794 0.063688 2321.250756 2114.153156
40 6881 0.067339 1858.511765 1629.904528
41 8098 0.071214 1455.224774 1224.260858
42 9585 0.075295 1105.761437 895.503465
43 11286 0.079619 803.996736 634.846006
44 13358 0.084185 588.195611 435.266338
45 15758 0.089016 418.450979 287.362194
46 18910 0.094158 286.476914 181.414056
47 21890 0.099576 198.160105 109.502631
48 25991 0.105268 128.357334 62.989837
49 31106 0.111339 83.173099 34.048648
50 36295 0.117753 51.867760 17.268701
51 43006 0.124502 30.949402 8.186242
52 50771 0.131649 18.375355 3.581522
53 60191 0.139212 10.504486 1.433457
54 71044 0.147218 5.738775 0.519367
55 84279 0.155692 3.132728 0.168385
56 92415 0.164505 1.662750 0.049294
57 91386 0.173911 0.786767 0.012460
58 87204 0.183897 0.341086 0.002689
59 79268 0.194425 0.139608 0.000492
