bin n k/h/Mpc corr/(Mpc/h)^3 PL
0 8 0.007109 19926.956106 22999.876100
1 17 0.007540 24932.130894 23478.005644
2 16 0.007948 27753.478835 23864.972622
3 16 0.008428 25834.982813 24246.105073
4 16 0.009062 15028.601124 24636.519374
5 24 0.009404 24574.857770 24799.318857
6 5 0.010053 30501.144678 25025.435661
7 48 0.010488 19326.087797 25121.814900
8 52 0.011302 24311.100300 25198.482380
9 12 0.011788 22654.054775 25187.089548
10 73 0.012661 29513.164917 25074.855481
11 56 0.013399 27069.613687 24900.907399
12 56 0.014118 25438.441462 24672.377066
13 85 0.014919 25157.062480 24360.094390
14 104 0.015855 21212.086587 23931.266839
15 112 0.016716 21727.928298 23486.366599
16 105 0.017749 22248.653227 22902.637758
17 152 0.018521 21564.955239 22437.905400
18 145 0.019564 23563.797360 21779.289565
19 236 0.020658 19524.554397 21061.683202
20 273 0.022004 20757.036350 20152.100791
21 332 0.023389 19727.780377 19200.137970
22 337 0.024805 16463.246350 18221.624140
23 368 0.026076 17717.984989 17347.152102
24 517 0.027581 15494.060085 16325.213983
25 540 0.029145 14889.291605 15285.150133
26 685 0.030811 14670.204457 14210.832626
27 757 0.032566 13771.226852 13121.032824
28 989 0.034451 12501.212793 12004.973735
29 1064 0.036439 11619.950333 10893.222564
30 1277 0.038477 10156.992400 9825.883298
31 1601 0.040717 8676.134296 8738.509393
32 1801 0.043096 7651.465294 7681.894897
33 2157 0.045569 6838.596997 6687.502123
34 2477 0.048160 5774.162513 5754.797756
35 2969 0.050893 5316.249262 4885.546846
36 3462 0.053791 4247.248060 4082.618512
37 4173 0.056863 3626.896675 3352.970054
38 5045 0.060185 2919.986212 2689.805392
39 5794 0.063688 2348.468774 2114.153156
40 6881 0.067339 1860.783139 1629.904528
41 8098 0.071214 1466.582255 1224.260858
42 9585 0.075295 1119.924578 895.503465
43 11286 0.079619 809.952311 634.846006
44 13358 0.084185 599.942783 435.266338
45 15758 0.089016 418.148040 287.362194
46 18910 0.094158 290.289523 181.414056
47 21890 0.099576 195.529706 109.502631
48 25991 0.105268 129.503044 62.989837
49 31106 0.111339 82.194328 34.048648
50 36295 0.117753 51.472936 17.268701
51 43006 0.124502 30.694636 8.186242
52 50771 0.131649 18.423855 3.581522
53 60191 0.139212 10.505151 1.433457
54 71044 0.147218 5.777332 0.519367
55 84279 0.155692 3.130074 0.168385
56 92415 0.164505 1.665463 0.049294
57 91386 0.173911 0.786034 0.012460
58 87204 0.183897 0.344924 0.002689
59 79268 0.194425 0.140747 0.000492
